#{"t_start": 1677589324.8651178, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
18,50,0.533426,0.32,0.3126467136150235,0.32,"(0.32,)",0.0,0.0,0.32,0.32,0.5730337078651685,1275,950,2,2,8,6,55,47,0.5336079293906681,0.2201322152521345
10,50,0.79817,0.4,0.3721980198019802,0.36,"(0.4,)",0.0,0.0,0.36,0.4,0.34177844013909586,688,1325,2,3,3,4,45,30,0.1805947780341439,0.13556030696033547
10,50,1.684948,0.4,0.37511087920688757,0.37333333333333335,"(0.4,)",0.0,0.0,0.37333333333333335,0.4,0.14864864864864863,275,1575,1,3,5,9,10,121,0.07574502889564078,0.173856397802486
22,50,1.959103,0.28,0.3494475138121547,0.35,"(0.28,)",0.0,0.0,0.35,0.28,0.42000000000000004,525,725,1,2,4,5,50,70,0.11470673001254897,0.14621928326663758
14,50,2.256304,0.36,0.3544216622319612,0.352,"(0.36,)",0.0,0.0,0.352,0.36,0.25760549558390583,525,1513,1,3,5,9,55,166,0.26028237347241895,0.255913917088937
14,50,2.54267,0.36,0.35388277142782415,0.35333333333333333,"(0.36,)",0.0,0.0,0.35333333333333333,0.36,0.37383177570093457,1000,1675,2,3,3,4,44,243,0.2359317144356931,0.179935125374336
22,50,2.855143,0.28,0.34156452371882495,0.34285714285714286,"(0.28,)",0.0,0.0,0.34285714285714286,0.28,0.4392721117223868,1038,1325,2,2,7,9,102,332,0.3895882519039285,0.35541275587890075
16,50,3.131477,0.34,0.3446474162329052,0.3425,"(0.34,)",0.005,0.04,0.3375,0.3,0.5658953722334004,1125,863,2,2,4,4,30,194,0.24402230528937702,0.28424432309681363
26,50,3.465292,0.24,0.33472692633361556,0.33111111111111113,"(0.24,)",0.006666666666666667,0.02,0.3244444444444444,0.22,0.5,875,875,2,1,7,7,194,110,0.34569871304831057,0.2524058407999013
22,50,3.78002,0.28,0.3290088303045815,0.326,"(0.28,)",0.016,0.1,0.31,0.18,0.4320987654320988,875,1150,1,3,3,3,20,48,0.2995190095724203,0.40074772309155704
12,50,4.084302,0.38,0.33611866072977503,0.33090909090909093,"(0.38,)",0.03090909090909091,0.18,0.3,0.2,0.5365853658536586,550,475,2,2,5,5,190,84,0.45821761032800357,0.36316943002702134
-2,50,4.357825,0.52,0.3549227594963496,0.3466666666666667,"(0.52,)",0.05,0.26,0.2966666666666667,0.26,0.5609756097560975,1150,900,3,2,4,4,253,99,0.46856795716712973,0.43224068152244294
10,50,4.658074,0.4,0.3601563553039493,0.3507692307692308,"(0.4,)",0.055384615384615386,0.12,0.2953846153846154,0.28,0.28998778998779,475,1163,1,3,5,6,39,245,0.48699549054307517,0.4319570769340269
18,50,4.953133,0.32,0.3591396869517669,0.3485714285714286,"(0.32,)",0.055714285714285716,0.06,0.29285714285714287,0.26,0.4838709677419355,1125,1200,2,2,5,5,21,140,0.5295503991352919,0.489171999414557
2,50,5.248693,0.48,0.3680293055850499,0.35733333333333334,"(0.48,)",0.06,0.12,0.29733333333333334,0.36,0.49230769230769234,800,825,2,2,7,7,174,0,0.5638622483445166,0.4869884011207348
6,50,5.522995,0.44,0.37599474119299225,0.3625,"(0.44,)",0.07,0.22,0.2925,0.22,0.573500588004704,1463,1088,3,3,6,4,84,162,0.5193156774601423,0.3749796780312902
24,50,5.858218,0.26,0.37024463491293685,0.3564705882352941,"(0.26,)",0.07058823529411765,0.08,0.2858823529411765,0.18,0.5029371893357433,1113,1100,3,3,4,4,38,204,0.4591495424547786,0.5353950616546055
16,50,6.156209,0.34,0.3675601277549364,0.35555555555555557,"(0.34,)",0.07555555555555556,0.16,0.28,0.18,0.45791245791245794,1088,1288,2,3,3,4,47,140,0.6398031637224744,0.5277285595150533
20,50,6.490188,0.3,0.3666421195333813,0.3526315789473684,"(0.3,)",0.07789473684210527,0.12,0.27473684210526317,0.18,0.3072050673000792,776,1750,2,3,3,4,53,148,0.5231082567684432,0.6407304038461223
16,50,6.778532,0.34,0.3664651535974452,0.352,"(0.34,)",0.079,0.1,0.273,0.24,0.4838709677419355,1125,1200,2,2,6,6,247,73,0.6256314309396204,0.6099514763389056
28,50,7.11794,0.22,0.35863755432066985,0.3457142857142857,"(0.22,)",0.07714285714285714,0.04,0.26857142857142857,0.18,0.494949494949495,588,600,2,1,3,3,54,0,0.5493972349562661,0.5983619600888603
20,50,7.430873,0.3,0.35805248868778283,0.34363636363636363,"(0.3,)",0.07818181818181819,0.1,0.26545454545454544,0.2,0.6756756756756757,1250,600,2,2,5,4,97,157,0.6526377740246356,0.5867819941826871
26,50,7.768559,0.24,0.3539853570935212,0.3391304347826087,"(0.24,)",0.0791304347826087,0.1,0.26,0.14,0.46052631578947373,875,1025,1,3,4,4,7,219,0.6096222625978659,0.5425915838196483
28,50,8.080424,0.22,0.34854843193582125,0.33416666666666667,"(0.22,)",0.07916666666666666,0.08,0.255,0.14,0.2785097682871422,613,1588,2,3,5,8,157,201,0.5420949347199823,0.6391618236233371
20,50,8.411612,0.3,0.3486906595714886,0.3328,"(0.3,)",0.0824,0.16,0.2504,0.14,0.5485036119711042,1063,875,2,2,3,3,26,59,0.6176129522048994,0.6466726411327623
22,50,8.713954,0.28,0.3472739524626317,0.33076923076923076,"(0.28,)",0.08307692307692308,0.1,0.24769230769230768,0.18,0.5609756097560975,1150,900,3,2,4,4,201,37,0.6315212986042834,0.6056076308368175
32,50,9.058276,0.18,0.3411813373518896,0.3251851851851852,"(0.18,)",0.08148148148148149,0.04,0.2437037037037037,0.14,0.40579710144927533,700,1025,2,2,6,6,264,206,0.5756458787739038,0.6635260654886208
28,50,9.373384,0.22,0.33786677601603793,0.32142857142857145,"(0.22,)",0.08214285714285714,0.1,0.2392857142857143,0.12,0.5078076202373516,813,788,2,2,6,6,68,167,0.5054775397925086,0.4693966528991975
24,50,9.711122,0.26,0.3367717644986569,0.3193103448275862,"(0.26,)",0.08482758620689655,0.16,0.23448275862068965,0.1,0.539568345323741,1275,1088,2,2,5,4,166,116,0.7213183278037386,0.7178572698781949
18,50,10.008834,0.32,0.33770681870156943,0.31933333333333336,"(0.32,)",0.08933333333333333,0.22,0.23,0.1,0.2966237942122186,738,1750,2,3,4,5,112,106,0.6381382654287282,0.6653812317066672
24,50,10.35338,0.26,0.33641448640288696,0.3174193548387097,"(0.26,)",0.0935483870967742,0.22,0.2238709677419355,0.04,0.5,875,875,2,1,4,4,267,79,0.5969909814950771,0.6690416959829156
20,50,10.674116,0.3,0.3363116208180296,0.316875,"(0.3,)",0.096875,0.2,0.22,0.1,0.5399361022364217,338,288,2,1,3,3,33,3,0.5376370128816111,0.45602453242536545
20,50,11.015701,0.3,0.3361062392806271,0.31636363636363635,"(0.3,)",0.10181818181818182,0.26,0.21454545454545454,0.04,0.605263157894737,1150,750,2,2,6,6,213,252,0.6249108363947808,0.6453005973986095
32,50,11.352886,0.18,0.3314950088079859,0.3123529411764706,"(0.18,)",0.10235294117647059,0.12,0.21,0.06,0.5078076202373516,813,788,2,2,5,5,108,82,0.5555359057521488,0.5113607901885797
18,50,11.695507,0.32,0.33250393772684733,0.31257142857142856,"(0.32,)",0.10514285714285715,0.2,0.20742857142857143,0.12,0.4838709677419355,750,800,2,2,5,5,303,226,0.5111375401845262,0.5244398185941828
34,50,12.035532,0.16,0.32792616479484044,0.30833333333333335,"(0.16,)",0.10444444444444445,0.08,0.2038888888888889,0.08,0.631578947368421,900,525,2,1,6,5,110,113,0.6977163003728089,0.6526998964299187
30,50,12.398573,0.2,0.325635103926097,0.3054054054054054,"(0.2,)",0.10702702702702703,0.2,0.19837837837837838,0.0,0.4518752824220515,1000,1213,2,3,5,5,139,217,0.7488301339011645,0.5715452067107829
20,50,12.733554,0.3,0.32521420034676046,0.30526315789473685,"(0.3,)",0.10842105263157895,0.16,0.1968421052631579,0.14,0.5050505050505051,600,588,1,2,4,4,67,253,0.6965867889457483,0.66853681826994
28,50,13.084865,0.22,0.32339886638879667,0.3030769230769231,"(0.22,)",0.10871794871794872,0.12,0.19435897435897437,0.1,0.6448435689455387,1113,613,3,2,6,5,309,267,0.6579642192613142,0.49727094240220826
38,50,13.444908,0.12,0.31882790378171566,0.2985,"(0.12,)",0.1085,0.1,0.19,0.02,0.5,875,875,2,1,5,5,252,124,0.651990637772051,0.7081919090424229
26,50,13.816359,0.24,0.31777966590535284,0.2970731707317073,"(0.24,)",0.11121951219512195,0.22,0.18585365853658536,0.02,0.40579710144927533,700,1025,2,2,3,3,50,44,0.6614570602708152,0.7283476681503744
28,50,14.167686,0.22,0.31606199849118716,0.29523809523809524,"(0.22,)",0.11190476190476191,0.14,0.18333333333333332,0.08,0.5942028985507246,1025,700,2,2,5,5,115,139,0.7309579853066177,0.6656448382248576
30,50,14.507712,0.2,0.31360380973640645,0.2930232558139535,"(0.2,)",0.11255813953488372,0.14,0.18046511627906978,0.06,0.6614473127380448,1563,800,3,1,4,3,150,15,0.7596971159556349,0.768066276036547
28,50,14.825115,0.22,0.31200296315663334,0.2913636363636364,"(0.22,)",0.11409090909090909,0.18,0.17727272727272728,0.04,0.6363636363636364,700,400,2,1,7,5,217,51,0.5896931720181391,0.7018876958100368
