#{"t_start": 1677537617.746281, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
-4,50,0.358479,0.54,0.5613262910798122,0.54,"(0.54,)",0.0,0.0,0.54,0.54,0.2162162162162162,1200,4350,3,4,4,9,107,15,0.321181624548138,0.24407827102996688
-10,50,0.689807,0.6,0.5783762376237623,0.57,"(0.6,)",0.0,0.0,0.57,0.6,0.5384615384615384,1050,900,2,2,5,5,79,234,0.3225679049000284,0.3904927197824902
-26,50,1.032859,0.76,0.6575528306809287,0.6333333333333333,"(0.76,)",0.12666666666666668,0.38,0.5066666666666667,0.38,0.46341463414634143,2850,3300,3,4,12,12,111,173,0.5037407374764379,0.4599191911503922
-34,50,1.333426,0.84,0.7064325177584846,0.685,"(0.84,)",0.235,0.56,0.45,0.28,0.42857142857142855,3600,4800,3,4,9,9,65,60,0.4710340395608444,0.4740954871129404
-42,50,1.633583,0.92,0.7524182188135858,0.732,"(0.92,)",0.328,0.7,0.404,0.22,0.41666666666666663,1500,2100,2,2,6,10,54,52,0.5961367277391794,0.5699629978187148
-38,50,1.930525,0.88,0.7741479873407789,0.7566666666666667,"(0.88,)",0.39,0.7,0.36666666666666664,0.18,0.7916666666666666,2850,750,3,1,8,4,97,0,0.6308545657257097,0.5875506130871364
-32,50,2.275425,0.82,0.7864297398435924,0.7657142857142857,"(0.82,)",0.4228571428571429,0.62,0.34285714285714286,0.2,0.46341463414634143,2850,3300,3,4,11,11,37,155,0.6425620838603591,0.6086531182158572
-34,50,2.58426,0.84,0.8003641617353099,0.775,"(0.84,)",0.45,0.64,0.325,0.2,0.13953488372093023,900,5550,2,4,3,6,40,83,0.5894680073175249,0.6192563144022041
-36,50,2.906358,0.86,0.8084427039232289,0.7844444444444445,"(0.86,)",0.47555555555555556,0.68,0.3088888888888889,0.18,0.39622641509433965,3150,4800,2,5,9,9,73,323,0.5304114613540404,0.5406634421003066
-36,50,3.225613,0.86,0.8172350908625544,0.792,"(0.86,)",0.494,0.66,0.298,0.2,0.32608695652173914,2250,4650,2,7,9,9,90,293,0.6499601362642144,0.6543760115730647
-40,50,3.542112,0.9,0.8257242815011855,0.8018181818181818,"(0.9,)",0.5072727272727273,0.64,0.29454545454545455,0.26,0.19047619047619047,600,2550,1,2,4,10,6,0,0.5733103574095592,0.2768256664420238
-34,50,3.861768,0.84,0.8275579303777378,0.805,"(0.84,)",0.5166666666666667,0.62,0.28833333333333333,0.22,0.20833333333333334,750,2850,1,3,5,12,34,266,0.7037600125945036,0.6906185620381798
-34,50,4.201029,0.84,0.8304598757489983,0.8076923076923077,"(0.84,)",0.5307692307692308,0.7,0.27692307692307694,0.14,0.6666666666666666,1200,600,3,1,4,3,84,0,0.6599215028516521,0.690837056847554
-38,50,4.527185,0.88,0.8365724180355881,0.8128571428571428,"(0.88,)",0.5414285714285715,0.68,0.2714285714285714,0.2,0.7142857142857143,750,300,3,1,4,4,20,10,0.6804489931429956,0.6389982475162208
-36,50,4.871686,0.86,0.8405606285835634,0.816,"(0.86,)",0.552,0.7,0.264,0.16,0.41666666666666663,1500,2100,2,2,8,15,39,31,0.7290073933795681,0.6863017790908261
-36,50,5.175814,0.86,0.8418573150204676,0.81875,"(0.86,)",0.565,0.76,0.25375,0.1,0.46341463414634143,2850,3300,3,4,9,9,170,232,0.6681965982543853,0.706248932814361
-34,50,5.507456,0.84,0.8436033985879632,0.82,"(0.84,)",0.5752941176470588,0.74,0.2447058823529412,0.1,0.20833333333333334,750,2850,1,3,3,6,0,90,0.7323931146649272,0.7036728621446026
-30,50,5.836311,0.8,0.8435090257803814,0.8188888888888889,"(0.8,)",0.5822222222222222,0.7,0.23666666666666666,0.1,0.36170212765957444,2550,4500,4,5,7,7,193,194,0.6971225584849923,0.7023364045716809
-32,50,6.169449,0.82,0.8457714773469012,0.8189473684210526,"(0.82,)",0.5831578947368421,0.6,0.23578947368421052,0.22,0.42857142857142855,450,600,2,2,3,3,60,53,0.7186719117275793,0.6905278731803695
-28,50,6.492488,0.78,0.8442973919813157,0.817,"(0.78,)",0.585,0.62,0.232,0.16,0.28888888888888886,1950,4800,3,4,8,14,17,294,0.6930303176322795,0.644553217491513
-40,50,6.804976,0.9,0.8466529382372091,0.820952380952381,"(0.9,)",0.5914285714285714,0.72,0.22952380952380952,0.18,0.28571428571428575,300,750,1,3,4,4,8,35,0.7360355317277147,0.7008684653830013
-28,50,7.12465,0.78,0.846124886877828,0.8190909090909091,"(0.78,)",0.5909090909090909,0.58,0.22818181818181818,0.2,0.43636363636363634,3600,4650,3,7,7,7,193,242,0.665649066289481,0.6997620277842908
-38,50,7.442858,0.88,0.8498687664041995,0.8217391304347826,"(0.88,)",0.5965217391304348,0.72,0.2252173913043478,0.16,0.13953488372093023,900,5550,2,5,3,6,39,119,0.7087328695750218,0.6999838461498814
-36,50,7.757673,0.86,0.8517255986973616,0.8233333333333334,"(0.86,)",0.6008333333333333,0.7,0.2225,0.16,0.42857142857142855,450,600,2,2,4,4,24,27,0.7263057288952783,0.7042433664734642
-30,50,8.088759,0.8,0.8514913877608178,0.8224,"(0.8,)",0.5992,0.56,0.2232,0.24,0.20833333333333334,750,2850,1,3,4,10,34,6,0.7560731970321766,0.7232539108688368
-40,50,8.383608,0.9,0.8543555501102671,0.8253846153846154,"(0.9,)",0.6061538461538462,0.78,0.21923076923076923,0.12,0.3333333333333333,600,1200,1,3,4,4,27,80,0.7592790910824214,0.7348175899259798
-34,50,8.714238,0.84,0.8546050882014006,0.825925925925926,"(0.84,)",0.6081481481481481,0.66,0.21777777777777776,0.18,0.32142857142857145,1350,2850,3,2,6,10,293,49,0.723815356622934,0.7241969664759506
-36,50,9.033212,0.86,0.8560461089848733,0.8271428571428572,"(0.86,)",0.6128571428571429,0.74,0.21428571428571427,0.12,0.5357142857142857,2250,1950,2,2,15,8,75,99,0.7009385813282797,0.7357403015340374
-30,50,9.365825,0.8,0.8555308468008279,0.8262068965517242,"(0.8,)",0.6089655172413793,0.5,0.21724137931034482,0.3,0.5714285714285715,2400,1800,2,2,10,6,125,6,0.7261954552906509,0.7129369325313255
-40,50,9.658995,0.9,0.8581480319315843,0.8286666666666667,"(0.9,)",0.612,0.7,0.21666666666666667,0.2,0.4915254237288135,4350,4500,3,3,7,7,74,118,0.581679747426599,0.6395822415218482
-34,50,9.98114,0.84,0.8589044980023199,0.8290322580645161,"(0.84,)",0.6141935483870967,0.68,0.21483870967741936,0.16,0.7142857142857143,750,300,3,1,3,3,39,10,0.7336925801647766,0.6872662948394297
-30,50,10.2991,0.8,0.8580266346850561,0.828125,"(0.8,)",0.616875,0.7,0.21125,0.1,0.3333333333333333,600,1200,1,3,3,4,18,80,0.7652540798735651,0.7317486745908837
-38,50,10.624381,0.88,0.8588385771455703,0.8296969696969697,"(0.88,)",0.6181818181818182,0.66,0.21151515151515152,0.22,0.28,2100,5400,2,7,7,7,55,215,0.7304461175213538,0.7343297158092137
-28,50,10.954702,0.78,0.8569301233118027,0.8282352941176471,"(0.78,)",0.6129411764705882,0.44,0.21529411764705883,0.34,0.4615384615384615,900,1050,2,2,6,6,122,112,0.731463506932116,0.7247573716808708
-32,50,11.281648,0.82,0.8565982605519665,0.828,"(0.82,)",0.6114285714285714,0.56,0.21657142857142858,0.26,0.3333333333333333,2100,4200,2,5,9,9,80,222,0.7517052834735152,0.7319732708633173
-24,50,11.60377,0.74,0.8553007895029467,0.8255555555555556,"(0.74,)",0.6083333333333333,0.5,0.21722222222222223,0.24,0.16666666666666669,300,1500,1,3,3,5,15,61,0.7304653276334012,0.743935545304653
-28,50,11.957089,0.78,0.8549316241534111,0.8243243243243243,"(0.78,)",0.6016216216216216,0.36,0.2227027027027027,0.42,0.25757575757575757,2550,7350,2,7,8,8,29,190,0.40492356442914423,0.7084555279252516
-24,50,12.28847,0.74,0.8530223711010487,0.8221052631578948,"(0.74,)",0.598421052631579,0.48,0.2236842105263158,0.26,0.2162162162162162,1200,4350,3,4,5,13,252,246,0.735868487859062,0.727142536718265
-26,50,12.624155,0.76,0.8515854573174481,0.8205128205128205,"(0.76,)",0.597948717948718,0.58,0.22256410256410256,0.18,0.41666666666666663,1500,2100,2,2,4,7,22,145,0.7363216748048602,0.7559702105071231
-32,50,12.939338,0.82,0.8507003103171465,0.8205,"(0.82,)",0.6005,0.7,0.22,0.12,0.42857142857142855,450,600,2,2,5,5,17,60,0.7353523574430667,0.7162741829638081
-32,50,13.259759,0.82,0.8511189754222953,0.8204878048780487,"(0.82,)",0.6014634146341463,0.64,0.21902439024390244,0.18,0.41666666666666663,1500,2100,2,2,4,6,141,8,0.7602236981487327,0.738293941834931
-36,50,13.560358,0.86,0.8514809988645803,0.8214285714285714,"(0.86,)",0.6033333333333334,0.68,0.2180952380952381,0.18,0.4528301886792453,3600,4350,3,5,7,7,17,50,0.7026928518781879,0.6984848765427236
-28,50,13.893301,0.78,0.850668750116264,0.8204651162790698,"(0.78,)",0.6013953488372094,0.52,0.21906976744186046,0.26,0.29090909090909095,2400,5850,1,5,6,6,0,102,0.517275757101604,0.6508477596196629
-28,50,14.20402,0.78,0.8497251091211481,0.8195454545454546,"(0.78,)",0.6027272727272728,0.66,0.21681818181818183,0.12,0.5384615384615384,1050,900,2,2,7,7,101,53,0.7396479663517743,0.7481135400851666
-22,50,14.546219,0.72,0.8473314746589664,0.8173333333333334,"(0.72,)",0.6008888888888889,0.52,0.21644444444444444,0.2,0.28571428571428575,300,750,1,3,4,4,111,88,0.6997294167060788,0.7353184411312402
-30,50,14.857848,0.8,0.8464752230706347,0.8169565217391305,"(0.8,)",0.6039130434782609,0.74,0.21304347826086956,0.06,0.41666666666666663,1500,2100,2,2,7,13,14,321,0.7441646600452783,0.7620190536648905
-36,50,15.211971,0.86,0.8471202046035806,0.8178723404255319,"(0.86,)",0.605531914893617,0.68,0.2123404255319149,0.18,0.7142857142857143,750,300,3,1,4,4,115,9,0.7292538873442599,0.7263047925090653
-26,50,15.535098,0.76,0.8457380582628253,0.8166666666666667,"(0.76,)",0.6041666666666666,0.54,0.2125,0.22,0.4878048780487805,3000,3150,4,3,7,7,308,25,0.7572970189915065,0.7344498081833026
-30,50,15.880628,0.8,0.8455454840923043,0.8163265306122449,"(0.8,)",0.6044897959183674,0.62,0.21183673469387754,0.18,0.5,900,900,2,2,4,4,22,11,0.7451683495898297,0.7387730437565078
-38,50,16.213053,0.88,0.8470768133587333,0.8176,"(0.88,)",0.6084,0.8,0.2092,0.08,0.2553191489361702,1800,5250,2,7,5,8,0,328,0.7281800253364885,0.7488855021466385
-26,50,16.561233,0.76,0.8455000897431457,0.8164705882352942,"(0.76,)",0.6101960784313726,0.7,0.20627450980392156,0.06,0.7142857142857143,750,300,3,1,5,4,78,21,0.7312188817822571,0.7359300422036478
-28,50,16.890548,0.78,0.8446678140710505,0.8157692307692308,"(0.78,)",0.6107692307692307,0.64,0.205,0.14,0.23728813559322035,2100,6750,2,6,10,10,13,212,0.511152355058204,0.6964645856931174
