#{"t_start": 1677585839.9618278, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
22,50,10.999496,0.28,0.27244718309859156,0.28,"(0.28,)",0.0,0.0,0.28,0.28,0.5047505938242282,1275,1251,2,3,8,8,29,60,0.18504847395548646,0.45449493766925864
4,50,11.29579,0.46,0.36823762376237623,0.37,"(0.46,)",0.0,0.0,0.37,0.46,0.511002444987775,1463,1400,3,3,6,6,52,29,0.17837962103961516,0.2091392237150791
18,50,12.067799,0.32,0.35037829376467516,0.35333333333333333,"(0.32,)",0.0,0.0,0.35333333333333333,0.32,0.576923076923077,1125,825,2,2,4,4,63,29,0.20170323676617344,0.22372517200703693
20,50,12.392082,0.3,0.34285714285714286,0.34,"(0.3,)",0.0,0.0,0.34,0.3,0.33870967741935487,525,1025,1,3,4,5,47,47,0.334874826410863,0.15057338560091868
6,50,12.699002,0.44,0.3710126780403819,0.36,"(0.44,)",0.0,0.0,0.36,0.44,0.4390243902439025,900,1150,2,3,4,4,4,21,0.11573448288812735,0.23155745076974224
16,50,12.985075,0.34,0.3676666753851385,0.3566666666666667,"(0.34,)",0.0,0.0,0.3566666666666667,0.34,0.5630252100840337,1675,1300,3,3,4,4,71,8,0.18556889616362962,0.1685739987088002
18,50,13.297674,0.32,0.3593116274900845,0.3514285714285714,"(0.32,)",0.0,0.0,0.3514285714285714,0.32,0.4818181818181818,1325,1425,2,3,9,9,91,137,0.16024628250863046,0.11437279127317611
22,50,13.587187,0.28,0.353751459615651,0.3425,"(0.28,)",0.0,0.0,0.3425,0.28,0.4341046277665996,863,1125,2,2,4,4,6,47,0.10968070295878712,0.1978095283165583
14,50,13.895118,0.36,0.3512383573243014,0.34444444444444444,"(0.36,)",0.0,0.0,0.34444444444444444,0.36,0.4320987654320988,875,1150,1,3,7,7,38,44,0.16227338117860146,0.19288969862346292
22,50,14.194448,0.28,0.34348605067826976,0.338,"(0.28,)",0.0,0.0,0.338,0.28,0.3763440860215054,875,1450,2,3,3,4,0,32,0.16798456607846282,0.21327679496306895
24,50,14.508554,0.26,0.3353524547504771,0.33090909090909093,"(0.26,)",0.0,0.0,0.33090909090909093,0.26,0.14864864864864863,275,1575,1,3,4,7,14,114,0.1570243759318168,0.19508815812706595
20,50,14.810231,0.3,0.3316315733784785,0.3283333333333333,"(0.3,)",0.0,0.0,0.3283333333333333,0.3,0.5229395046691027,1288,1175,2,3,9,7,29,94,0.1794639443910418,0.14823236288882102
34,50,15.143024,0.16,0.32123907902314697,0.3153846153846154,"(0.16,)",0.0,0.0,0.3153846153846154,0.16,0.28070175438596495,288,738,1,3,4,5,0,36,0.20004205186066296,0.1587405087070374
26,50,15.448252,0.24,0.31703538310815427,0.31,"(0.24,)",0.0,0.0,0.31,0.24,0.4485981308411215,1200,1475,2,3,5,7,47,52,0.18538954206523595,0.15339973698219328
22,50,15.768537,0.28,0.3146527925249522,0.308,"(0.28,)",0.0,0.0,0.308,0.28,0.605263157894737,1150,750,2,2,7,7,19,56,0.16057283886277285,0.13030406340011622
24,50,16.059523,0.26,0.31276953875880203,0.305,"(0.26,)",0.0,0.0,0.305,0.26,0.4060089321965083,1000,1463,2,3,4,6,64,50,0.16091565201945163,0.15878076466736615
34,50,16.409808,0.16,0.30290707976982123,0.2964705882352941,"(0.16,)",0.0,0.0,0.2964705882352941,0.16,0.6448435689455387,1113,613,3,2,4,3,49,13,0.14856692922760484,0.16215968045452786
26,50,16.702717,0.24,0.2987153923523495,0.29333333333333333,"(0.24,)",0.0,0.0,0.29333333333333333,0.24,0.39473684210526316,750,1150,2,2,3,3,38,43,0.12920152300645849,0.16686124985174278
26,50,17.021814,0.24,0.29633131935262513,0.2905263157894737,"(0.24,)",0.0,0.0,0.2905263157894737,0.24,0.6203037569944044,776,475,2,1,3,3,19,0,0.1703870399240796,0.12857889130645486
32,50,17.343517,0.18,0.2897657311270168,0.285,"(0.18,)",0.0,0.0,0.285,0.18,0.5161290322580646,1200,1125,2,2,6,6,35,35,0.19774738449659102,0.21147384059070182
24,50,17.652317,0.26,0.2894629256696395,0.2838095238095238,"(0.26,)",0.0,0.0,0.2838095238095238,0.26,0.2975708502024291,588,1388,2,3,3,4,41,37,0.171860877325914,0.16393647477166748
30,50,17.960763,0.2,0.28685610859728505,0.28,"(0.2,)",0.0,0.0,0.28,0.2,0.6097560975609756,1250,800,2,3,5,5,3,35,0.1805793218266198,0.18840473863825768
34,50,18.282576,0.16,0.28164801768200026,0.2747826086956522,"(0.16,)",0.0,0.0,0.2747826086956522,0.16,0.5,875,875,1,2,4,4,0,0,0.14600858444441753,0.16233515718281546
32,50,18.598433,0.18,0.27841909477223686,0.2708333333333333,"(0.18,)",0.0,0.0,0.2708333333333333,0.18,0.33164983164983164,788,1588,2,3,6,8,8,98,0.17431859191464572,0.17448019087878788
32,50,18.929222,0.18,0.2739303127904164,0.2672,"(0.18,)",0.0,0.0,0.2672,0.18,0.5084151472650772,725,701,1,3,6,6,11,8,0.16543600519943444,0.15449505090980806
20,50,19.225214,0.3,0.2756799803969615,0.2684615384615385,"(0.3,)",0.0,0.0,0.2684615384615385,0.3,0.33653846153846156,875,1725,2,3,3,4,16,66,0.17693594899541548,0.20022066853079878
38,50,19.569544,0.12,0.27031291552167364,0.26296296296296295,"(0.12,)",0.0,0.0,0.26296296296296295,0.12,0.5942028985507246,1025,700,2,2,6,6,71,95,0.19540993379422972,0.12365853633252591
42,50,19.899398,0.08,0.2631959631857117,0.25642857142857145,"(0.08,)",0.0,0.0,0.25642857142857145,0.08,0.49219237976264835,788,813,2,2,6,6,18,31,0.15049785140359398,0.13266072365153483
38,50,20.260787,0.12,0.257475009907966,0.2517241379310345,"(0.12,)",0.0,0.0,0.2517241379310345,0.12,0.46043165467625896,1088,1275,2,2,4,5,49,4,0.19394974865449283,0.21384060995773835
36,50,20.577234,0.14,0.25220845942338066,0.248,"(0.14,)",0.0,0.0,0.248,0.14,0.39159109645507006,475,738,1,2,3,4,8,49,0.19952980237060805,0.18537577965588098
34,50,20.915911,0.16,0.2496352622760665,0.24516129032258063,"(0.16,)",0.0,0.0,0.24516129032258063,0.16,0.3763440860215054,875,1450,2,3,4,5,10,24,0.16549023663974627,0.2154271614279423
38,50,21.237778,0.12,0.24604352497314044,0.24125,"(0.12,)",0.0,0.0,0.24125,0.12,0.5399361022364217,338,288,2,1,3,3,50,16,0.13318060907248913,0.14742484982214915
38,50,21.584157,0.12,0.24218273078749236,0.23757575757575758,"(0.12,)",0.0,0.0,0.23757575757575758,0.12,0.39473684210526316,750,1150,2,2,6,6,53,0,0.13826969744511158,0.14681703778140814
42,50,21.89337,0.08,0.23704051673517323,0.23294117647058823,"(0.08,)",0.0,0.0,0.23294117647058823,0.08,0.47728649303452453,788,863,2,3,5,5,24,21,0.14314888268770443,0.12956908306833606
38,50,22.284669,0.12,0.23351062615563722,0.2297142857142857,"(0.12,)",0.0,0.0,0.2297142857142857,0.12,0.4575777202072539,1413,1675,3,3,5,5,76,94,0.20391476678909848,0.19361017018722257
40,50,22.63112,0.1,0.22999221616813076,0.22611111111111112,"(0.1,)",0.0,0.0,0.22611111111111112,0.1,0.5405405405405405,1000,850,2,2,4,4,27,85,0.1619302093274218,0.20635442548401808
36,50,22.991341,0.14,0.22733563415245955,0.22378378378378377,"(0.14,)",0.0,0.0,0.22378378378378377,0.14,0.7009345794392523,1875,800,3,2,9,7,124,120,0.16144896499384523,0.2050529625348762
40,50,23.335806,0.1,0.2240055885670039,0.22052631578947368,"(0.1,)",0.0,0.0,0.22052631578947368,0.1,0.5050505050505051,600,588,1,2,4,4,16,16,0.1831457460554339,0.16905881124459954
40,50,23.717675,0.1,0.22124680838855898,0.21743589743589745,"(0.1,)",0.0,0.0,0.21743589743589745,0.1,0.35515643105446115,613,1113,2,3,5,6,5,80,0.15880123530183435,0.159913176159194
42,50,24.053956,0.08,0.21758943084560425,0.214,"(0.08,)",0.0,0.0,0.214,0.08,0.5,875,875,1,2,5,5,58,69,0.15075487302807827,0.16434633646375757
40,50,24.439405,0.1,0.21484250157849197,0.21121951219512194,"(0.1,)",0.0,0.0,0.21121951219512194,0.1,0.2545454545454546,700,2050,2,3,3,6,18,158,0.14571712973304202,0.18992872365645144
36,50,24.772147,0.14,0.21308933238842023,0.20952380952380953,"(0.14,)",0.0,0.0,0.20952380952380953,0.14,0.5942028985507246,1025,700,2,2,5,5,68,18,0.18700654456150037,0.1478768977081195
46,50,25.120633,0.04,0.20904812396525105,0.2055813953488372,"(0.04,)",0.0,0.0,0.2055813953488372,0.04,0.6614473127380448,1563,800,3,1,4,3,107,4,0.20622336957448073,0.19776372554570232
38,50,25.443544,0.12,0.2070251505181893,0.20363636363636364,"(0.12,)",0.0,0.0,0.20363636363636364,0.12,0.36363636363636365,400,700,1,2,5,7,5,15,0.16180728135284703,0.15102429528004196
38,50,25.785399,0.12,0.2047872718737998,0.20177777777777778,"(0.12,)",0.0,0.0,0.20177777777777778,0.12,0.3772791023842917,538,888,2,2,4,4,3,35,0.1632039523862603,0.15051101765034308
40,50,26.112619,0.1,0.2026681509053276,0.19956521739130434,"(0.1,)",0.0,0.0,0.19956521739130434,0.1,0.2,325,1300,1,3,5,9,15,101,0.2180789960726416,0.1924093853338403
38,50,26.453373,0.12,0.20054219948849106,0.19787234042553192,"(0.12,)",0.0,0.0,0.19787234042553192,0.12,0.4915254237288135,725,750,1,2,4,4,12,12,0.18380991907027344,0.19477718746798847
40,50,26.772777,0.1,0.19918067901895684,0.19583333333333333,"(0.1,)",0.0,0.0,0.19583333333333333,0.1,0.7786195286195287,925,263,2,1,5,4,37,6,0.20417395484033246,0.14287758149048094
42,50,27.13025,0.08,0.19631583612660497,0.19346938775510203,"(0.08,)",0.0,0.0,0.19346938775510203,0.08,0.4390243902439025,900,1150,2,3,4,4,15,118,0.162601176478759,0.2048421054928511
46,50,27.500425,0.04,0.1930180187415472,0.1904,"(0.04,)",0.0,0.0,0.1904,0.04,0.23333333333333334,175,575,1,2,3,3,3,5,0.14190838365550668,0.16077560285987075
40,50,27.831384,0.1,0.1906837168147166,0.18862745098039216,"(0.1,)",0.0,0.0,0.18862745098039216,0.1,0.23333333333333334,175,575,1,2,3,3,3,5,0.142509685739364,0.1597535891306103
44,50,28.144065,0.06,0.1885214242234163,0.18615384615384614,"(0.06,)",0.0,0.0,0.18615384615384614,0.06,0.3772791023842917,538,888,2,2,4,4,53,44,0.15900583393158807,0.15264021654982574
40,50,28.496448,0.1,0.1868619685533257,0.18452830188679245,"(0.1,)",0.0,0.0,0.18452830188679245,0.1,0.4060089321965083,1000,1463,2,3,4,6,28,106,0.2011921821349178,0.17883447830223329
44,50,28.831044,0.06,0.18447346366224643,0.18222222222222223,"(0.06,)",0.0,0.0,0.18222222222222223,0.06,0.38557993730407525,738,1176,2,3,5,5,69,32,0.19103260438632666,0.17777456404747463
48,50,29.180941,0.02,0.18167493434490808,0.17927272727272728,"(0.02,)",0.0,0.0,0.17927272727272728,0.02,0.360146252285192,788,1400,2,3,6,8,55,103,0.19566150615473216,0.1958192648202779
42,50,29.523067,0.08,0.1800675511145361,0.1775,"(0.08,)",0.0,0.0,0.1775,0.08,0.494949494949495,588,600,2,1,5,5,61,9,0.18434538538246245,0.17653165137199123
44,50,29.864385,0.06,0.17774891750500751,0.17543859649122806,"(0.06,)",0.0,0.0,0.17543859649122806,0.06,0.74,925,325,2,1,4,3,39,0,0.1513088670118099,0.142516984461059
46,50,30.206222,0.04,0.1751729098655453,0.17310344827586208,"(0.04,)",0.0,0.0,0.17310344827586208,0.04,0.7396166134185304,463,163,2,1,4,4,76,10,0.14194108237094927,0.12335507051113166
44,50,30.550719,0.06,0.1731743690504052,0.1711864406779661,"(0.06,)",0.0,0.0,0.1711864406779661,0.06,0.605263157894737,1150,750,2,2,4,4,39,41,0.15104540426191926,0.1472682610549106
48,50,30.882355,0.02,0.17069778513599174,0.16866666666666666,"(0.02,)",0.0,0.0,0.16866666666666666,0.02,0.6734006734006733,800,388,2,2,5,4,67,83,0.17425148708194307,0.1638661895040001
48,50,31.230494,0.02,0.16823369357847898,0.1662295081967213,"(0.02,)",0.0,0.0,0.1662295081967213,0.02,0.5151938526021655,1475,1388,2,3,4,4,26,144,0.1693087127597559,0.19048578746273911
48,50,31.579543,0.02,0.16571249618245534,0.1638709677419355,"(0.02,)",0.0,0.0,0.1638709677419355,0.02,0.42696629213483145,950,1275,2,2,6,8,41,44,0.19632430265922873,0.2120621864572575
42,50,31.91666,0.08,0.16420631323804238,0.16253968253968254,"(0.08,)",0.0,0.0,0.16253968253968254,0.08,0.5161290322580646,1200,1125,2,2,5,5,93,103,0.19229175608593768,0.2231042435783114
50,50,32.286781,0.0,0.1617797934544579,0.16,"(0.0,)",0.0,0.0,0.16,0.0,0.5624553890078516,788,613,2,2,4,3,57,38,0.20073054840578414,0.1636623879077615
42,50,32.641797,0.08,0.16037386408534177,0.15876923076923077,"(0.08,)",0.0,0.0,0.15876923076923077,0.08,0.605263157894737,1150,750,2,2,6,6,5,34,0.15222417548474904,0.15102191199147452
44,50,32.961312,0.06,0.15907758119344076,0.1572727272727273,"(0.06,)",0.0,0.0,0.1572727272727273,0.06,0.42000000000000004,525,725,1,2,5,7,13,66,0.13655835186472512,0.1463461661360655
44,50,33.315155,0.06,0.15758921726464276,0.15582089552238806,"(0.06,)",0.0,0.0,0.15582089552238806,0.06,0.22138047138047137,263,925,1,2,5,7,14,86,0.1566849400344164,0.20275276310747842
44,50,33.646618,0.06,0.15584985628454245,0.15441176470588236,"(0.06,)",0.0,0.0,0.15441176470588236,0.06,0.2336448598130841,225,738,1,2,4,5,0,51,0.19614610168110092,0.2042151134078748
44,50,33.990393,0.06,0.1543872140126529,0.15304347826086956,"(0.06,)",0.0,0.0,0.15304347826086956,0.06,0.6874148114493412,1513,688,3,2,8,6,88,55,0.20266395421318625,0.13510137342639772
42,50,34.316078,0.08,0.1533588388564718,0.152,"(0.08,)",0.0,0.0,0.152,0.08,0.6084089035449298,738,475,2,1,6,5,66,9,0.2020597761937833,0.21332599162698335
42,50,34.66241,0.08,0.15255940030636325,0.15098591549295776,"(0.08,)",0.0,0.0,0.15098591549295776,0.08,0.49325025960539975,475,488,1,2,4,4,6,63,0.2514384174956705,0.18263518405481705
46,50,35.02844,0.04,0.15152531158914936,0.14944444444444444,"(0.04,)",0.0,0.0,0.14944444444444444,0.04,0.8244023083264633,1000,213,2,1,3,3,0,0,0.22071149023742756,0.17218480968877792
44,50,35.388999,0.06,0.15009746588693956,0.1482191780821918,"(0.06,)",0.0,0.0,0.1482191780821918,0.06,0.6084089035449298,738,475,2,1,5,4,30,4,0.1995800401743386,0.2124075006144427
