#{"t_start": 1677548095.9745367, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
50,50,0.288953,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.41666666666666663,1500,2100,2,2,8,14,258,289,0.2629129791134029,0.3103230850531404
42,50,0.613094,0.08,0.0483960396039604,0.04,"(0.08,)",0.04,0.08,0.0,0.0,0.4615384615384615,900,1050,2,2,5,5,137,54,0.41333602616332843,0.45543972204614847
22,50,0.917546,0.28,0.15330028698147666,0.12,"(0.28,)",0.12,0.28,0.0,0.0,0.2368421052631579,1350,4350,2,5,5,8,129,293,0.5367575910483897,0.5180273001695124
6,50,1.206754,0.44,0.23914759273875297,0.2,"(0.44,)",0.2,0.44,0.0,0.0,0.28571428571428575,300,750,1,3,4,5,66,315,0.47316069629972457,0.5366162505619618
-6,50,1.482524,0.56,0.31760838941931446,0.272,"(0.56,)",0.272,0.56,0.0,0.0,0.2962962962962963,1200,2850,3,2,4,9,63,251,0.626899411880108,0.5424457463590608
-6,50,1.805102,0.56,0.3593230978474093,0.32,"(0.56,)",0.32,0.56,0.0,0.0,0.25,1050,3150,1,3,3,6,0,66,0.6051154367820732,0.6742258226917959
6,50,2.094563,0.44,0.38396038272794497,0.33714285714285713,"(0.44,)",0.33714285714285713,0.44,0.0,0.0,0.4642857142857143,1950,2250,2,2,9,17,95,191,0.6732886182818894,0.6594480259778758
0,50,2.380902,0.5,0.4030320422744275,0.3575,"(0.5,)",0.3575,0.5,0.0,0.0,0.28571428571428575,300,750,1,3,4,5,98,207,0.6638103732033243,0.6627398689000438
-4,50,2.707666,0.54,0.4241285633643805,0.37777777777777777,"(0.54,)",0.37777777777777777,0.54,0.0,0.0,0.39622641509433965,3150,4800,2,5,9,9,288,226,0.6411534936701647,0.6746068091279492
4,50,3.007876,0.46,0.4395156130023036,0.386,"(0.46,)",0.386,0.46,0.0,0.0,0.4583333333333333,3300,3900,5,2,7,7,303,36,0.6936944309863052,0.6052829706489977
14,50,3.32098,0.36,0.4339906320476493,0.3836363636363636,"(0.36,)",0.3836363636363636,0.36,0.0,0.0,0.19047619047619047,600,2550,1,2,4,10,34,43,0.6973144490316272,0.5957780854415491
0,50,3.642888,0.5,0.44333932917151625,0.3933333333333333,"(0.5,)",0.3933333333333333,0.5,0.0,0.0,0.20833333333333334,750,2850,1,3,5,12,0,186,0.7554929639348379,0.722390099219229
18,50,3.97842,0.32,0.44116457743631216,0.38769230769230767,"(0.32,)",0.38769230769230767,0.32,0.0,0.0,0.3333333333333333,600,1200,1,3,4,5,9,220,0.7774063581362523,0.7210085818187504
6,50,4.292153,0.44,0.44361030735230456,0.3914285714285714,"(0.44,)",0.3914285714285714,0.44,0.0,0.0,0.35416666666666663,2550,4650,4,3,13,13,83,310,0.6968234533533202,0.6703466043310491
-2,50,4.596333,0.52,0.45518156721172226,0.4,"(0.52,)",0.4,0.52,0.0,0.0,0.4642857142857143,1950,2250,2,2,7,13,21,65,0.7113961783022447,0.7236660146983276
