#{"t_start": 1677598694.4826565, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
50,50,0.176534,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5730337078651685,1275,950,2,2,8,6,54,47,0.45792890392294805,0.5122652144122453
50,50,0.372988,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4060089321965083,1000,1463,2,3,5,6,99,96,0.2595673642598727,0.18616753656781151
50,50,0.577154,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.3333333333333333,275,550,1,2,5,5,44,95,0.27227858042245323,0.19748140255601115
50,50,0.782968,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.42000000000000004,525,725,1,2,4,5,30,116,0.1150550938611254,0.174789891217135
50,50,1.014555,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4328112118713932,525,688,1,2,5,7,48,220,0.18812031426353995,0.21242994483029798
50,50,1.24482,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.37383177570093457,1000,1675,2,3,3,4,169,274,0.23561327004976507,0.24877437136388078
50,50,1.468043,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.42143727161997563,1038,1425,2,3,7,9,212,327,0.3552758234551554,0.22207332242937863
46,50,1.725635,0.04,0.00492805826587765,0.005,"(0.04,)",0.005,0.04,0.0,0.0,0.4341046277665996,863,1125,2,2,4,4,62,50,0.31095521332680487,0.22430588121208847
24,50,1.944899,0.26,0.0362686988427886,0.03333333333333333,"(0.26,)",0.03333333333333333,0.26,0.0,0.0,0.22138047138047137,263,925,1,2,4,4,47,231,0.39951332570841547,0.3571603806514243
30,50,2.173934,0.2,0.05368569234706936,0.05,"(0.2,)",0.05,0.2,0.0,0.0,0.5,875,875,1,2,3,3,0,104,0.4742776151576489,0.38196037828093443
30,50,2.400381,0.2,0.06986931128202163,0.06363636363636363,"(0.2,)",0.06363636363636363,0.2,0.0,0.0,0.3666666666666667,275,475,1,2,4,4,187,197,0.4340619127672917,0.45433683529433244
10,50,2.606849,0.4,0.10434081049624379,0.09166666666666666,"(0.4,)",0.09166666666666666,0.4,0.0,0.0,0.5925925925925926,1200,825,2,2,3,3,128,214,0.49833913785365447,0.42938894694140495
24,50,2.824948,0.26,0.11991324486269897,0.10461538461538461,"(0.26,)",0.10461538461538461,0.26,0.0,0.0,0.4600638977635783,288,338,1,2,4,4,25,81,0.4522781272833672,0.5321928961439828
24,50,3.050169,0.26,0.13188352965300404,0.11571428571428571,"(0.26,)",0.11571428571428571,0.26,0.0,0.0,0.5942028985507246,1025,700,2,2,5,5,346,223,0.5831431148268054,0.5131707715052277
30,50,3.267557,0.2,0.14070928010193248,0.12133333333333333,"(0.2,)",0.12133333333333333,0.2,0.0,0.0,0.29906542056074764,800,1875,2,3,5,7,41,87,0.6016231568849892,0.5557648317707695
26,50,3.494962,0.24,0.15059310976763643,0.12875,"(0.24,)",0.12875,0.24,0.0,0.0,0.4060089321965083,1000,1463,2,3,4,6,123,347,0.5825764791654313,0.5715941744341327
22,50,3.744273,0.28,0.1606308465692355,0.1376470588235294,"(0.28,)",0.1376470588235294,0.28,0.0,0.0,0.35515643105446115,613,1113,2,3,3,4,90,312,0.4834019053416204,0.5909893803046783
36,50,3.992251,0.14,0.16218171551587232,0.13777777777777778,"(0.14,)",0.13777777777777778,0.14,0.0,0.0,0.605263157894737,1150,750,2,2,3,3,146,179,0.5592880607947657,0.5767940950248263
26,50,4.219741,0.24,0.16927479957823563,0.1431578947368421,"(0.24,)",0.1431578947368421,0.24,0.0,0.0,0.37969624300559557,475,776,1,2,3,3,35,131,0.5412808310303203,0.6364288050058999
34,50,4.453605,0.16,0.17033547556819537,0.144,"(0.16,)",0.144,0.16,0.0,0.0,0.5050505050505051,600,588,1,2,5,5,23,296,0.6016186727754526,0.5872560016123042
30,50,4.685732,0.2,0.1748709174325818,0.14666666666666667,"(0.2,)",0.14666666666666667,0.2,0.0,0.0,0.5050505050505051,600,588,1,2,3,3,14,164,0.6134269139611321,0.599955821857168
24,50,4.910221,0.26,0.1801556561085973,0.15181818181818182,"(0.26,)",0.15181818181818182,0.26,0.0,0.0,0.2727272727272727,225,600,1,2,4,4,113,73,0.6780089740968144,0.6299053434898464
20,50,5.115281,0.3,0.1876156927752452,0.1582608695652174,"(0.3,)",0.1582608695652174,0.3,0.0,0.0,0.46052631578947373,875,1025,1,3,4,4,15,300,0.6758050954523028,0.621793203156583
12,50,5.317303,0.38,0.19699757741034432,0.1675,"(0.38,)",0.1675,0.38,0.0,0.0,0.33164983164983164,788,1588,2,3,6,8,157,296,0.6532657654476077,0.6669520002709325
22,50,5.534482,0.28,0.2026645109546664,0.172,"(0.28,)",0.172,0.28,0.0,0.0,0.5485036119711042,1063,875,2,2,3,3,72,159,0.6637284609220101,0.6829787425065155
28,50,5.780798,0.22,0.20532957608429306,0.17384615384615384,"(0.22,)",0.17384615384615384,0.22,0.0,0.0,0.5485036119711042,1063,875,2,2,3,3,29,169,0.6715612350606575,0.689856796313562
26,50,5.984247,0.24,0.20969181219159058,0.17629629629629628,"(0.24,)",0.17629629629629628,0.24,0.0,0.0,0.6577840112201964,938,488,2,2,6,5,228,226,0.6908150737933978,0.6243761469403566
12,50,6.178598,0.38,0.21898920174958994,0.18357142857142858,"(0.38,)",0.18357142857142858,0.38,0.0,0.0,0.3666666666666667,275,475,1,2,4,4,18,123,0.6217663043304696,0.6900558020625325
26,50,6.412632,0.24,0.2215586331410454,0.18551724137931033,"(0.24,)",0.18551724137931033,0.24,0.0,0.0,0.46043165467625896,1088,1275,2,2,4,5,77,155,0.7193255219694306,0.744726215720694
10,50,6.590731,0.4,0.22997760959862149,0.19266666666666668,"(0.4,)",0.19266666666666668,0.4,0.0,0.0,0.39159109645507006,475,738,1,2,3,4,19,90,0.7292379019941988,0.7176294781848479
16,50,6.810029,0.34,0.23606134811187007,0.19741935483870968,"(0.34,)",0.19741935483870968,0.34,0.0,0.0,0.5,875,875,1,2,4,4,11,44,0.7210877783657565,0.6765226550070598
26,50,7.046697,0.24,0.23838292981535616,0.19875,"(0.24,)",0.19875,0.24,0.0,0.0,0.4600638977635783,288,338,1,2,3,3,59,68,0.6687625715801561,0.7125214800085891
