#{"t_start": 1677593346.3892193, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
50,50,0.211791,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5730337078651685,1275,950,2,2,8,6,54,58,0.46099534684174504,0.5603153396619777
50,50,0.443427,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4060089321965083,1000,1463,2,3,5,6,64,23,0.2647113293722921,0.21547453766675276
50,50,0.67349,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.3333333333333333,275,550,1,2,5,5,4,53,0.12300013520612903,0.18731868700326942
50,50,0.920893,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.42000000000000004,525,725,1,2,4,5,6,40,0.09628895547411735,0.12629682938383874
50,50,1.172201,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4328112118713932,525,688,1,2,5,7,43,47,0.1603195186114095,0.20631246720516186
50,50,1.413874,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.37383177570093457,1000,1675,2,3,3,4,20,67,0.11751445761249449,0.2017734188095106
50,50,1.646605,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5607278882776132,1325,1038,2,2,9,7,112,22,0.20650368758237436,0.2269869573234285
50,50,1.877887,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4341046277665996,863,1125,2,2,4,4,17,98,0.17346722199878173,0.10138575267348017
50,50,2.161038,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5,875,875,1,2,7,7,8,17,0.23191507757241056,0.1977650244561558
50,50,2.423482,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5,875,875,1,2,3,3,4,16,0.23038908429968066,0.19669844848540086
50,50,2.67306,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.3333333333333333,275,550,1,2,4,4,54,105,0.0784232221321512,0.19114173275567498
50,50,2.919253,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4619799139167862,1288,1500,2,3,7,7,142,101,0.19328783064295718,0.19557897386486037
50,50,3.163174,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4600638977635783,288,338,1,2,4,4,0,16,0.11374840430594015,0.22889133600714862
50,50,3.398869,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5161290322580646,1200,1125,2,2,5,5,102,41,0.23492830165380105,0.18771506183457193
50,50,3.628113,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.605263157894737,1150,750,2,2,7,7,89,52,0.15841856875744023,0.1894599020584415
50,50,3.865809,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4060089321965083,1000,1463,2,3,4,6,52,94,0.17999881597831674,0.1999296173497017
50,50,4.104771,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.35515643105446115,613,1113,2,3,3,4,17,52,0.11758943782018237,0.1887693031772039
50,50,4.328201,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.605263157894737,1150,750,2,2,3,3,7,32,0.15787960351787123,0.19403250783718945
50,50,4.554899,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.37969624300559557,475,776,1,2,3,3,0,41,0.19279738430695095,0.2076491244796803
50,50,4.805699,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5161290322580646,1200,1125,2,2,6,6,76,26,0.2337326066198464,0.1924754829395033
50,50,5.028623,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5050505050505051,600,588,1,2,3,3,16,51,0.141476442130779,0.19176696741636837
50,50,5.261488,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.15254237288135594,225,1250,1,2,4,5,11,20,0.14720624875944105,0.21036236816201925
50,50,5.475064,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5,875,875,1,2,4,4,0,69,0.22589285377289836,0.15770885131221257
50,50,5.693805,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5624553890078516,788,613,2,2,6,5,39,39,0.2119882723529669,0.16407154570941546
50,50,5.934197,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5485036119711042,1063,875,2,2,3,3,57,18,0.2162161617070701,0.17865951001838648
50,50,6.166135,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4390243902439025,900,1150,2,3,4,4,24,59,0.18494116012512624,0.2023600552622017
50,50,6.398576,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5942028985507246,1025,700,2,2,6,6,80,86,0.18343856037028958,0.15582072350551326
50,50,6.616015,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5078076202373516,813,788,2,2,6,6,39,70,0.11157107845217518,0.15878595053680894
50,50,6.861595,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.46043165467625896,1088,1275,2,2,4,5,57,72,0.23424262854145544,0.23380071151867785
50,50,7.080426,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.39159109645507006,475,738,1,2,3,4,8,73,0.2059794535804209,0.20244036666899165
50,50,7.313492,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5,875,875,1,2,4,4,10,19,0.22262455904384876,0.16766732894093583
50,50,7.545063,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4600638977635783,288,338,1,2,3,3,15,38,0.10438595714605184,0.1797229830682108
50,50,7.775294,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.605263157894737,1150,750,2,2,6,6,32,80,0.15535854862607906,0.18708219588779898
50,50,7.997876,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5078076202373516,813,788,2,2,5,5,18,23,0.11346122228440006,0.14949580817530633
50,50,8.23135,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4575777202072539,1413,1675,3,3,5,5,124,61,0.23627480321555772,0.21022165033304782
50,50,8.465866,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.45945945945945943,850,1000,2,2,4,4,28,58,0.23228306716296193,0.1384566026168427
50,50,8.685249,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.29906542056074764,800,1875,2,3,7,9,154,112,0.22044413828531292,0.18190154494681401
50,50,8.918852,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5050505050505051,600,588,1,2,4,4,23,112,0.1542070532054314,0.1791475605353237
50,50,9.145291,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.35515643105446115,613,1113,2,3,5,6,37,45,0.10349149210263271,0.1806618725814084
50,50,9.369194,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5,875,875,1,2,5,5,72,21,0.2241508020893415,0.16407844091401275
50,50,9.593911,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5942028985507246,1025,700,2,2,3,3,9,4,0.17968547429036624,0.15332591563298922
50,50,9.815004,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.5942028985507246,1025,700,2,2,5,5,9,17,0.18065510801816265,0.15466409391967323
50,50,10.056568,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.33855268726195514,800,1563,1,3,3,4,0,96,0.2049148971856971,0.23933261538376635
50,50,10.285204,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.36363636363636365,400,700,1,2,5,7,5,33,0.17558664680510191,0.18362786436777484
50,50,10.515437,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.3772791023842917,538,888,2,2,4,4,48,61,0.14047605179989248,0.1697433221980465
50,50,10.74244,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.2280701754385965,325,1100,1,2,5,6,10,79,0.18016303456166044,0.15980902323684898
50,50,10.979873,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4915254237288135,725,750,1,2,4,4,7,28,0.19045412239417456,0.20264553787763429
50,50,11.204365,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.22138047138047137,263,925,1,2,4,5,0,51,0.1827120221002357,0.17397055078439833
