#{"t_start": 1677546070.3557808, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
50,50,0.311881,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.41666666666666663,1500,2100,2,2,8,14,67,122,0.2807628194002713,0.309525899680478
50,50,0.642528,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4615384615384615,900,1050,2,2,5,5,62,109,0.31502053864641233,0.6316296306156002
48,50,0.973639,0.02,0.010174797808505087,0.006666666666666667,"(0.02,)",0.006666666666666667,0.02,0.0,0.0,0.4642857142857143,1950,2250,2,2,9,17,82,321,0.4951723102003733,0.4016463192939582
34,50,1.355797,0.16,0.05714285714285714,0.045,"(0.16,)",0.045,0.16,0.0,0.0,0.28571428571428575,300,750,1,3,4,5,17,263,0.43881589076763694,0.43592481068366623
36,50,1.6991,0.14,0.08151510408514634,0.064,"(0.14,)",0.064,0.14,0.0,0.0,0.4615384615384615,3600,4200,4,3,17,17,146,250,0.620950508871996,0.5317198777490523
42,50,2.057245,0.08,0.08573745193942406,0.06666666666666667,"(0.08,)",0.06666666666666667,0.08,0.0,0.0,0.25925925925925924,1050,3000,1,4,3,6,9,233,0.5646696270525876,0.56832055257366
42,50,2.425781,0.08,0.0904161158043337,0.06857142857142857,"(0.08,)",0.06857142857142857,0.08,0.0,0.0,0.2162162162162162,1200,4350,3,4,7,17,96,80,0.6147724724390093,0.6200564101143837
44,50,2.754966,0.06,0.08989253270528628,0.0675,"(0.06,)",0.0675,0.06,0.0,0.0,0.39024390243902435,2400,3750,3,4,8,8,260,125,0.5758912240998035,0.6362427912943369
38,50,3.116497,0.12,0.09400578605701383,0.07333333333333333,"(0.12,)",0.07333333333333333,0.12,0.0,0.0,0.14285714285714285,600,3600,1,3,5,17,3,203,0.686847301930885,0.6165228206057057
44,50,3.497951,0.06,0.09305413360634758,0.072,"(0.06,)",0.072,0.06,0.0,0.0,0.4583333333333333,3300,3900,5,2,7,7,98,6,0.6599410438318692,0.6296236525562817
