#{"t_start": 1672757959.655695, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
-6,50,0.723818,0.56,0.5629401408450704,0.56,"(0.56,)",0.0,0.0,0.56,0.56
-14,50,1.020073,0.64,0.6194059405940594,0.6,"(0.64,)",0.0,0.0,0.6,0.64
-10,50,2.213228,0.6,0.618001565353509,0.6,"(0.6,)",0.0,0.0,0.6,0.6
-18,50,2.484086,0.68,0.6418705603788477,0.62,"(0.68,)",0.05,0.2,0.57,0.48
-18,50,2.796715,0.68,0.6521208326811707,0.632,"(0.68,)",0.112,0.36,0.52,0.32
-22,50,3.09584,0.72,0.6690293725315827,0.6466666666666666,"(0.72,)",0.15666666666666668,0.38,0.49,0.34
-26,50,3.410439,0.76,0.685145763775293,0.6628571428571428,"(0.76,)",0.18857142857142858,0.38,0.4742857142857143,0.38
-12,50,3.6996,0.62,0.6804084944683041,0.6575,"(0.62,)",0.2,0.28,0.4575,0.34
-18,50,4.020788,0.68,0.6800204628845611,0.66,"(0.68,)",0.20666666666666667,0.26,0.4533333333333333,0.42
-28,50,4.29826,0.78,0.6919471461479396,0.672,"(0.78,)",0.202,0.16,0.47,0.62
-4,50,4.640915,0.54,0.6812727693286301,0.66,"(0.54,)",0.19636363636363635,0.14,0.4636363636363636,0.4
-20,50,4.923177,0.7,0.6863956195111628,0.6633333333333333,"(0.7,)",0.20333333333333334,0.28,0.46,0.42
-16,50,5.267842,0.66,0.6891886924236298,0.6630769230769231,"(0.66,)",0.21846153846153846,0.4,0.44461538461538463,0.26
-28,50,5.554817,0.78,0.6984005832630835,0.6714285714285714,"(0.78,)",0.24285714285714285,0.56,0.42857142857142855,0.22
-20,50,5.883225,0.7,0.7029730303673816,0.6733333333333333,"(0.7,)",0.25466666666666665,0.42,0.4186666666666667,0.28
-26,50,6.162122,0.76,0.7070605459996215,0.67875,"(0.76,)",0.2625,0.38,0.41625,0.38
-24,50,6.471443,0.74,0.7107562884136504,0.6823529411764706,"(0.74,)",0.26941176470588235,0.38,0.41294117647058826,0.36
-14,50,6.778412,0.64,0.70776058301424,0.68,"(0.64,)",0.26666666666666666,0.22,0.41333333333333333,0.42
