#{"t_start": 1672756912.0067284, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
-8,50,0.507659,0.58,0.5730633802816901,0.58,"(0.58,)",0.0,0.0,0.58,0.58
-10,50,1.507817,0.6,0.6055445544554455,0.59,"(0.6,)",0.0,0.0,0.59,0.6
-12,50,2.311052,0.62,0.6357422384555179,0.6,"(0.62,)",0.0,0.0,0.6,0.62
-18,50,2.589656,0.68,0.644475138121547,0.62,"(0.68,)",0.0,0.0,0.62,0.68
-18,50,2.922083,0.68,0.6456722491782751,0.632,"(0.68,)",0.0,0.0,0.632,0.68
-14,50,3.22069,0.64,0.6438678628410013,0.6333333333333333,"(0.64,)",0.0,0.0,0.6333333333333333,0.64
-6,50,3.561625,0.56,0.6385596163757367,0.6228571428571429,"(0.56,)",0.005714285714285714,0.04,0.6171428571428571,0.52
0,50,3.892652,0.5,0.6242207136778356,0.6075,"(0.5,)",0.005,0.0,0.6025,0.5
-10,50,4.233007,0.6,0.6192139429861699,0.6066666666666667,"(0.6,)",0.0044444444444444444,0.0,0.6022222222222222,0.6
2,50,4.566365,0.48,0.6024123368313283,0.594,"(0.48,)",0.004,0.0,0.59,0.48
-4,50,4.907443,0.54,0.5967443474238131,0.5890909090909091,"(0.54,)",0.00909090909090909,0.06,0.58,0.48
0,50,5.23672,0.5,0.5874378372658978,0.5816666666666667,"(0.5,)",0.015,0.08,0.5666666666666667,0.42
-6,50,5.590997,0.56,0.5890404244629881,0.58,"(0.56,)",0.027692307692307693,0.18,0.5523076923076923,0.38
-14,50,5.913502,0.64,0.593139823654052,0.5842857142857143,"(0.64,)",0.03857142857142857,0.18,0.5457142857142857,0.46
-12,50,6.251841,0.62,0.5962943300063708,0.5866666666666667,"(0.62,)",0.036,0.0,0.5506666666666666,0.62
-10,50,6.561213,0.6,0.5953407766700198,0.5875,"(0.6,)",0.0425,0.14,0.545,0.46
-12,50,6.919365,0.62,0.5985114856231522,0.5894117647058823,"(0.62,)",0.04588235294117647,0.1,0.5435294117647059,0.52
-8,50,7.220876,0.58,0.5997864869157065,0.5888888888888889,"(0.58,)",0.043333333333333335,0.0,0.5455555555555556,0.58
-16,50,7.557842,0.66,0.605474568612027,0.5926315789473684,"(0.66,)",0.04421052631578947,0.06,0.5484210526315789,0.6
-10,50,7.881858,0.6,0.6051747285134373,0.593,"(0.6,)",0.042,0.0,0.551,0.6
-10,50,8.209846,0.6,0.6056205805308662,0.5933333333333334,"(0.6,)",0.04,0.0,0.5533333333333333,0.6
-8,50,8.528499,0.58,0.6040325791855203,0.5927272727272728,"(0.58,)",0.038181818181818185,0.0,0.5545454545454546,0.58
-4,50,8.868401,0.54,0.6013330570520791,0.5904347826086956,"(0.54,)",0.036521739130434785,0.0,0.5539130434782609,0.54
-10,50,9.18286,0.6,0.6020664822144852,0.5908333333333333,"(0.6,)",0.03833333333333333,0.08,0.5525,0.52
-16,50,9.502918,0.66,0.6044098738399256,0.5936,"(0.66,)",0.044,0.18,0.5496,0.48
-20,50,9.809816,0.7,0.6085947071796128,0.5976923076923077,"(0.7,)",0.04461538461538461,0.06,0.553076923076923,0.64
-10,50,10.149169,0.6,0.6092131312235913,0.5977777777777777,"(0.6,)",0.04296296296296296,0.0,0.5548148148148148,0.6
-2,50,10.45604,0.52,0.6062682248952068,0.595,"(0.52,)",0.041428571428571426,0.0,0.5535714285714286,0.52
-8,50,10.799357,0.58,0.6063785283367827,0.5944827586206897,"(0.58,)",0.04275862068965517,0.08,0.5517241379310345,0.5
-2,50,11.14153,0.52,0.6049343977194764,0.592,"(0.52,)",0.042666666666666665,0.04,0.5493333333333333,0.48
-14,50,11.484631,0.64,0.6061760536151566,0.5935483870967742,"(0.64,)",0.04129032258064516,0.0,0.552258064516129,0.64
