#{"t_start": 1674069393.2553973, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
50,50,0.24299,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,0.496269,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
48,50,0.768113,0.02,0.01027915470910514,0.006666666666666667,"(0.02,)",0.0,0.0,0.006666666666666667,0.02
50,50,1.033743,0.0,0.0077742699289660615,0.005,"(0.0,)",0.0,0.0,0.005,0.0
46,50,1.304332,0.04,0.014524964783221161,0.012,"(0.04,)",0.0,0.0,0.012,0.04
48,50,1.615843,0.02,0.01629482384327675,0.013333333333333334,"(0.02,)",0.0,0.0,0.013333333333333334,0.02
48,50,1.910839,0.02,0.01835211867255249,0.014285714285714285,"(0.02,)",0.0,0.0,0.014285714285714285,0.02
50,50,2.197026,0.0,0.016209155501019257,0.0125,"(0.0,)",0.0,0.0,0.0125,0.0
46,50,2.506527,0.04,0.020233559130680215,0.015555555555555555,"(0.04,)",0.0,0.0,0.015555555555555555,0.04
48,50,2.834568,0.02,0.01938827745072946,0.016,"(0.02,)",0.0,0.0,0.016,0.02
48,50,3.147068,0.02,0.019386456947897993,0.016363636363636365,"(0.02,)",0.0,0.0,0.016363636363636365,0.02
38,50,3.448593,0.12,0.029123902232567982,0.025,"(0.12,)",0.0033333333333333335,0.04,0.021666666666666667,0.08
38,50,3.748885,0.12,0.03731206116972393,0.03230769230769231,"(0.12,)",0.009230769230769232,0.08,0.023076923076923078,0.04
48,50,4.068482,0.02,0.03613497072292725,0.03142857142857143,"(0.02,)",0.008571428571428572,0.0,0.022857142857142857,0.02
42,50,4.382086,0.08,0.04078360586111701,0.034666666666666665,"(0.08,)",0.009333333333333334,0.02,0.025333333333333333,0.06
48,50,4.697706,0.02,0.04003864426361762,0.03375,"(0.02,)",0.00875,0.0,0.025,0.02
42,50,5.050378,0.08,0.043396349595694876,0.036470588235294116,"(0.08,)",0.010588235294117647,0.04,0.02588235294117647,0.04
44,50,5.375903,0.06,0.043814296553792945,0.03777777777777778,"(0.06,)",0.01,0.0,0.027777777777777776,0.06
38,50,5.693675,0.12,0.049130529381244875,0.042105263157894736,"(0.12,)",0.011578947368421053,0.04,0.030526315789473683,0.08
40,50,6.022293,0.1,0.052335141919749605,0.045,"(0.1,)",0.014,0.06,0.031,0.04
46,50,6.35953,0.04,0.052200838847417594,0.04476190476190476,"(0.04,)",0.015238095238095238,0.04,0.029523809523809525,0.0
42,50,6.682275,0.08,0.0546606334841629,0.046363636363636364,"(0.08,)",0.017272727272727273,0.06,0.02909090909090909,0.02
36,50,6.993233,0.14,0.05876502279320348,0.050434782608695654,"(0.14,)",0.018260869565217393,0.04,0.03217391304347826,0.1
42,50,7.304329,0.08,0.05981016428599796,0.051666666666666666,"(0.08,)",0.019166666666666665,0.04,0.0325,0.04
40,50,7.630219,0.1,0.06253898740945373,0.0536,"(0.1,)",0.0216,0.08,0.032,0.02
