#{"t_start": 1674558494.445244, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
14,50,0.204532,0.36,0.37250586854460094,0.36,"(0.36,)",0.0,0.0,0.36,0.36
4,50,0.38663,0.46,0.41077227722772275,0.41,"(0.46,)",0.0,0.0,0.41,0.46
2,50,0.572199,0.48,0.4285937907644143,0.43333333333333335,"(0.48,)",0.0,0.0,0.43333333333333335,0.48
-10,50,0.753722,0.6,0.4755722178374112,0.475,"(0.6,)",0.0,0.0,0.475,0.6
6,50,0.967091,0.44,0.46498669588354985,0.468,"(0.44,)",0.0,0.0,0.468,0.44
8,50,1.209904,0.42,0.44639447597625087,0.46,"(0.42,)",0.0,0.0,0.46,0.42
10,50,1.435468,0.4,0.4457391265377462,0.4514285714285714,"(0.4,)",0.0,0.0,0.4514285714285714,0.4
2,50,1.64824,0.48,0.44926474953984996,0.455,"(0.48,)",0.0,0.0,0.455,0.48
4,50,1.878239,0.46,0.45185930002822466,0.45555555555555555,"(0.46,)",0.0,0.0,0.45555555555555555,0.46
2,50,2.119789,0.48,0.4544407473765037,0.458,"(0.48,)",0.0,0.0,0.458,0.48
2,50,2.328542,0.48,0.46125599953738505,0.46,"(0.48,)",0.0,0.0,0.46,0.48
8,50,2.548635,0.42,0.45425087292350014,0.45666666666666667,"(0.42,)",0.0,0.0,0.45666666666666667,0.42
0,50,2.760075,0.5,0.45786616672180763,0.46,"(0.5,)",0.0,0.0,0.46,0.5
14,50,3.006819,0.36,0.45159599917978627,0.45285714285714285,"(0.36,)",0.0,0.0,0.45285714285714285,0.36
14,50,3.245545,0.36,0.4480569122956042,0.44666666666666666,"(0.36,)",0.0,0.0,0.44666666666666666,0.36
20,50,3.481496,0.3,0.43750684740495804,0.4375,"(0.3,)",0.0,0.0,0.4375,0.3
-12,50,3.694293,0.62,0.44927766015985676,0.44823529411764707,"(0.62,)",0.0,0.0,0.44823529411764707,0.62
2,50,3.928214,0.48,0.44796280284448836,0.45,"(0.48,)",0.0,0.0,0.45,0.48
8,50,4.17315,0.42,0.44528778724330115,0.44842105263157894,"(0.42,)",0.0,0.0,0.44842105263157894,0.42
6,50,4.410348,0.44,0.4451108586681072,0.448,"(0.44,)",0.0,0.0,0.448,0.44
-8,50,4.616641,0.58,0.4519858274154717,0.4542857142857143,"(0.58,)",0.0,0.0,0.4542857142857143,0.58
4,50,4.849654,0.46,0.4524742081447964,0.45454545454545453,"(0.46,)",0.0,0.0,0.45454545454545453,0.46
6,50,5.080111,0.44,0.4514090343970162,0.4539130434782609,"(0.44,)",0.0,0.0,0.4539130434782609,0.44
6,50,5.306018,0.44,0.4510914891645375,0.4533333333333333,"(0.44,)",0.0,0.0,0.4533333333333333,0.44
8,50,5.529807,0.42,0.44884215350536594,0.452,"(0.42,)",0.0,0.0,0.452,0.42
14,50,5.760031,0.36,0.4441435922567998,0.44846153846153847,"(0.36,)",0.0,0.0,0.44846153846153847,0.36
14,50,6.01938,0.36,0.44065242443045827,0.4451851851851852,"(0.36,)",0.0,0.0,0.4451851851851852,0.36
16,50,6.266985,0.34,0.4383485966830691,0.44142857142857145,"(0.34,)",0.0,0.0,0.44142857142857145,0.34
14,50,6.518901,0.36,0.4344588048791228,0.4386206896551724,"(0.36,)",0.0,0.0,0.4386206896551724,0.36
14,50,6.752851,0.36,0.4322145223824238,0.436,"(0.36,)",0.0,0.0,0.436,0.36
-4,50,6.980527,0.54,0.4368346436396443,0.4393548387096774,"(0.54,)",0.0012903225806451613,0.04,0.43806451612903224,0.5
16,50,7.283894,0.34,0.43489993253879017,0.43625,"(0.34,)",0.0025,0.04,0.43375,0.3
16,50,7.532594,0.34,0.4320452321198438,0.43333333333333335,"(0.34,)",0.0024242424242424242,0.0,0.4309090909090909,0.34
10,50,7.787235,0.4,0.4312342924251321,0.4323529411764706,"(0.4,)",0.0029411764705882353,0.02,0.4294117647058823,0.38
8,50,8.02525,0.42,0.43094939164973634,0.432,"(0.42,)",0.004571428571428572,0.06,0.42742857142857144,0.36
16,50,8.280228,0.34,0.42831980429222727,0.42944444444444446,"(0.34,)",0.005,0.02,0.42444444444444446,0.32
8,50,8.540153,0.42,0.42699656607070263,0.4291891891891892,"(0.42,)",0.004864864864864865,0.0,0.4243243243243243,0.42
6,50,8.762536,0.44,0.4275842914134698,0.42947368421052634,"(0.44,)",0.004736842105263158,0.0,0.42473684210526313,0.44
8,50,9.005226,0.42,0.4271574883503621,0.42923076923076925,"(0.42,)",0.004615384615384616,0.0,0.4246153846153846,0.42
10,50,9.270557,0.4,0.4262008315061764,0.4285,"(0.4,)",0.0055,0.04,0.423,0.36
10,50,9.516435,0.4,0.426453966496995,0.4278048780487805,"(0.4,)",0.005365853658536586,0.0,0.4224390243902439,0.4
18,50,9.76363,0.32,0.42362206524472484,0.42523809523809525,"(0.32,)",0.006190476190476191,0.04,0.41904761904761906,0.28
16,50,10.014991,0.34,0.4217683278456759,0.4232558139534884,"(0.34,)",0.008372093023255815,0.1,0.41488372093023257,0.24
8,50,10.266274,0.42,0.4215235563689711,0.42318181818181816,"(0.42,)",0.01,0.08,0.4131818181818182,0.34
4,50,10.519272,0.46,0.421441373522425,0.424,"(0.46,)",0.010222222222222223,0.02,0.4137777777777778,0.44
-2,50,10.763483,0.52,0.4237628928739151,0.4260869565217391,"(0.52,)",0.010869565217391304,0.04,0.4152173913043478,0.48
8,50,11.003474,0.42,0.42457289002557547,0.42595744680851066,"(0.42,)",0.014042553191489362,0.16,0.41191489361702127,0.26
-2,50,11.225634,0.52,0.4258260147799079,0.42791666666666667,"(0.52,)",0.015833333333333335,0.1,0.41208333333333336,0.42
14,50,11.482158,0.36,0.4245947977846429,0.42653061224489797,"(0.36,)",0.0163265306122449,0.04,0.41020408163265304,0.32
-8,50,11.70608,0.58,0.4274993815996171,0.4296,"(0.58,)",0.0188,0.14,0.4108,0.44
14,50,11.954515,0.36,0.4262295598177427,0.42823529411764705,"(0.36,)",0.021176470588235293,0.14,0.40705882352941175,0.22
2,50,12.18769,0.48,0.42800861480275254,0.42923076923076925,"(0.48,)",0.02346153846153846,0.14,0.40576923076923077,0.34
-4,50,12.419626,0.54,0.43032673876352573,0.4313207547169811,"(0.54,)",0.024150943396226414,0.06,0.4071698113207547,0.48
10,50,12.679984,0.4,0.42873318632200236,0.43074074074074076,"(0.4,)",0.023703703703703703,0.0,0.40703703703703703,0.4
6,50,12.927695,0.44,0.42944557922381094,0.4309090909090909,"(0.44,)",0.02327272727272727,0.0,0.40763636363636363,0.44
18,50,13.203807,0.32,0.4272822851642512,0.42892857142857144,"(0.32,)",0.022857142857142857,0.0,0.4060714285714286,0.32
4,50,13.463209,0.46,0.42784540534753934,0.42947368421052634,"(0.46,)",0.023157894736842106,0.04,0.4063157894736842,0.42
16,50,13.701398,0.34,0.42639572843468154,0.4279310344827586,"(0.34,)",0.022758620689655173,0.0,0.4051724137931034,0.34
10,50,13.95385,0.4,0.42591342778300884,0.42745762711864405,"(0.4,)",0.02305084745762712,0.04,0.40440677966101696,0.36
4,50,14.178973,0.46,0.42613330908332286,0.428,"(0.46,)",0.023,0.02,0.405,0.44
10,50,14.4172,0.4,0.42625763448669673,0.4275409836065574,"(0.4,)",0.02459016393442623,0.12,0.40295081967213114,0.28
6,50,14.644089,0.44,0.42713277808548195,0.42774193548387096,"(0.44,)",0.024838709677419354,0.04,0.4029032258064516,0.4
10,50,14.890694,0.4,0.4268208227883553,0.4273015873015873,"(0.4,)",0.025396825396825397,0.06,0.40190476190476193,0.34
8,50,15.13959,0.42,0.42660158082342287,0.4271875,"(0.42,)",0.0253125,0.02,0.401875,0.4
12,50,15.390521,0.38,0.425303733702094,0.42646153846153845,"(0.38,)",0.025538461538461538,0.04,0.40092307692307694,0.34
14,50,15.634524,0.36,0.42439587018782715,0.4254545454545455,"(0.36,)",0.026060606060606062,0.06,0.3993939393939394,0.3
6,50,15.874133,0.44,0.4251907007053051,0.4256716417910448,"(0.44,)",0.02626865671641791,0.04,0.39940298507462685,0.4
2,50,16.100237,0.48,0.42611515171538206,0.4264705882352941,"(0.48,)",0.026176470588235294,0.02,0.4002941176470588,0.46
4,50,16.342722,0.46,0.42603825651549737,0.42695652173913046,"(0.46,)",0.0263768115942029,0.04,0.40057971014492755,0.42
12,50,16.603827,0.38,0.426024808249844,0.42628571428571427,"(0.38,)",0.026571428571428572,0.04,0.3997142857142857,0.34
12,50,16.857392,0.38,0.4254263404523949,0.4256338028169014,"(0.38,)",0.02647887323943662,0.02,0.3991549295774648,0.36
8,50,17.101264,0.42,0.42553600486383064,0.4255555555555556,"(0.42,)",0.02638888888888889,0.02,0.39916666666666667,0.4
6,50,17.333524,0.44,0.4261310012084006,0.42575342465753424,"(0.44,)",0.028219178082191782,0.16,0.3975342465753425,0.28
6,50,17.59219,0.44,0.4265704464066342,0.4259459459459459,"(0.44,)",0.02891891891891892,0.08,0.397027027027027,0.36
2,50,17.812983,0.48,0.42735699431046287,0.4266666666666667,"(0.48,)",0.030133333333333335,0.12,0.39653333333333335,0.36
6,50,18.060261,0.44,0.42786514000296305,0.4268421052631579,"(0.44,)",0.030789473684210526,0.08,0.3960526315789474,0.36
2,50,18.284546,0.48,0.4279982790596648,0.42753246753246754,"(0.48,)",0.03090909090909091,0.04,0.3966233766233766,0.44
-6,50,18.500304,0.56,0.43038052929589304,0.42923076923076925,"(0.56,)",0.033846153846153845,0.26,0.3953846153846154,0.3
-2,50,18.714841,0.52,0.4319418352160441,0.43037974683544306,"(0.52,)",0.035443037974683546,0.16,0.3949367088607595,0.36
6,50,18.952919,0.44,0.4321322075079567,0.4305,"(0.44,)",0.036,0.08,0.3945,0.36
0,50,19.176767,0.5,0.43279098376919717,0.43135802469135803,"(0.5,)",0.0362962962962963,0.06,0.3950617283950617,0.44
4,50,19.413919,0.46,0.4332145810552884,0.4317073170731707,"(0.46,)",0.03585365853658536,0.0,0.3958536585365854,0.46
-6,50,19.622886,0.56,0.4340984190120954,0.4332530120481928,"(0.56,)",0.03614457831325301,0.06,0.39710843373493976,0.5
4,50,19.855842,0.46,0.4342967075206676,0.43357142857142855,"(0.46,)",0.03595238095238095,0.02,0.3976190476190476,0.44
4,50,20.085669,0.46,0.4347978877164477,0.4338823529411765,"(0.46,)",0.036470588235294116,0.08,0.39741176470588235,0.38
16,50,20.334714,0.34,0.4336687912124851,0.4327906976744186,"(0.34,)",0.03627906976744186,0.02,0.39651162790697675,0.32
