#{"t_start": 1673895427.9746253, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
18,50,0.270592,0.32,0.34419014084507044,0.32,"(0.32,)",0.0,0.0,0.32,0.32
-36,50,0.465014,0.86,0.5807524752475247,0.59,"(0.86,)",0.38,0.76,0.21,0.1
-22,50,0.694994,0.72,0.6611531437516306,0.6333333333333333,"(0.72,)",0.48,0.68,0.15333333333333332,0.04
-28,50,0.908882,0.78,0.7040647198105762,0.67,"(0.78,)",0.505,0.58,0.165,0.2
-34,50,1.112837,0.84,0.7379871654406011,0.704,"(0.84,)",0.516,0.56,0.188,0.28
-30,50,1.310781,0.8,0.7560745952449455,0.72,"(0.8,)",0.5333333333333333,0.62,0.18666666666666668,0.18
-34,50,1.517526,0.84,0.7734331234454478,0.7371428571428571,"(0.84,)",0.5657142857142857,0.76,0.17142857142857143,0.08
-34,50,1.722791,0.84,0.7853820729510954,0.75,"(0.84,)",0.5725,0.62,0.1775,0.22
-18,50,1.959355,0.68,0.784222410386678,0.7422222222222222,"(0.68,)",0.5733333333333334,0.58,0.1688888888888889,0.1
-26,50,2.168908,0.76,0.7863130278986434,0.744,"(0.76,)",0.57,0.54,0.174,0.22
-32,50,2.392057,0.82,0.7953507199444863,0.7509090909090909,"(0.82,)",0.5836363636363636,0.72,0.16727272727272727,0.1
-34,50,2.625786,0.84,0.8022960533276902,0.7583333333333333,"(0.84,)",0.5883333333333334,0.64,0.17,0.2
-28,50,2.842382,0.78,0.8054993934492519,0.76,"(0.78,)",0.5984615384615385,0.72,0.16153846153846155,0.06
-34,50,3.060048,0.84,0.8089357727096671,0.7657142857142857,"(0.84,)",0.6028571428571429,0.66,0.16285714285714287,0.18
-32,50,3.264013,0.82,0.8136759396899554,0.7693333333333333,"(0.82,)",0.6066666666666667,0.66,0.16266666666666665,0.16
-30,50,3.467434,0.8,0.8155831997051881,0.77125,"(0.8,)",0.6175,0.78,0.15375,0.02
-34,50,3.680009,0.84,0.8181699480512213,0.7752941176470588,"(0.84,)",0.6247058823529412,0.74,0.15058823529411763,0.1
-24,50,3.894782,0.74,0.8175698328951315,0.7733333333333333,"(0.74,)",0.6233333333333333,0.6,0.15,0.14
-28,50,4.109758,0.78,0.8173442233342817,0.7736842105263158,"(0.78,)",0.6252631578947369,0.66,0.14842105263157895,0.12
-32,50,4.315757,0.82,0.8194405827726186,0.776,"(0.82,)",0.631,0.74,0.145,0.08
-28,50,4.534655,0.78,0.8198673591447996,0.7761904761904762,"(0.78,)",0.6342857142857142,0.7,0.1419047619047619,0.08
-30,50,4.752298,0.8,0.8196995475113122,0.7772727272727272,"(0.8,)",0.6318181818181818,0.58,0.14545454545454545,0.22
-34,50,4.947542,0.84,0.8226136206658379,0.78,"(0.84,)",0.6347826086956522,0.7,0.14521739130434783,0.14
-28,50,5.174325,0.78,0.8232039079151167,0.78,"(0.78,)",0.6325,0.58,0.1475,0.2
-24,50,5.395934,0.74,0.8221728558516124,0.7784,"(0.74,)",0.628,0.52,0.1504,0.22
-26,50,5.615046,0.76,0.8219982847341338,0.7776923076923077,"(0.76,)",0.6276923076923077,0.62,0.15,0.14
-26,50,5.825872,0.76,0.8215465532015483,0.7770370370370371,"(0.76,)",0.6229629629629629,0.5,0.15407407407407409,0.26
-34,50,6.016393,0.84,0.8233153362493165,0.7792857142857142,"(0.84,)",0.6264285714285714,0.72,0.15285714285714286,0.12
-26,50,6.253885,0.76,0.8226033731119821,0.7786206896551724,"(0.76,)",0.6255172413793103,0.6,0.15310344827586206,0.16
-16,50,6.478498,0.66,0.8195152823796582,0.7746666666666666,"(0.66,)",0.624,0.58,0.15066666666666667,0.08
-26,50,6.700283,0.76,0.8195695321562056,0.7741935483870968,"(0.76,)",0.6225806451612903,0.58,0.15161290322580645,0.18
-18,50,6.922292,0.68,0.8165304949653949,0.77125,"(0.68,)",0.619375,0.52,0.151875,0.16
-32,50,7.129771,0.82,0.8181897462233894,0.7727272727272727,"(0.82,)",0.6212121212121212,0.68,0.15151515151515152,0.14
-16,50,7.359767,0.66,0.8154174985320023,0.7694117647058824,"(0.66,)",0.6170588235294118,0.48,0.15235294117647058,0.18
-30,50,7.564433,0.8,0.815527198849499,0.7702857142857142,"(0.8,)",0.6171428571428571,0.62,0.15314285714285714,0.18
-32,50,7.772051,0.82,0.8163504948293117,0.7716666666666666,"(0.82,)",0.6183333333333333,0.66,0.15333333333333332,0.16
-36,50,7.95768,0.86,0.8184428817327071,0.774054054054054,"(0.86,)",0.6216216216216216,0.74,0.15243243243243243,0.12
-30,50,8.158649,0.8,0.8184304879896308,0.7747368421052632,"(0.8,)",0.6221052631578947,0.64,0.15263157894736842,0.16
-22,50,8.382025,0.72,0.8176590887667572,0.7733333333333333,"(0.72,)",0.6225641025641026,0.64,0.15076923076923077,0.08
-32,50,8.582032,0.82,0.8185263729636685,0.7745,"(0.82,)",0.6245,0.7,0.15,0.12
-28,50,8.791342,0.78,0.8192217449936471,0.7746341463414634,"(0.78,)",0.6268292682926829,0.72,0.14780487804878048,0.06
-36,50,8.977908,0.86,0.8210075516844599,0.7766666666666666,"(0.86,)",0.6309523809523809,0.8,0.1457142857142857,0.06
-30,50,9.174933,0.8,0.8222594266793162,0.7772093023255814,"(0.8,)",0.6334883720930232,0.74,0.14372093023255814,0.06
-38,50,9.375235,0.88,0.824531015099026,0.7795454545454545,"(0.88,)",0.6372727272727273,0.8,0.14227272727272727,0.08
-28,50,9.592984,0.78,0.8243232670943514,0.7795555555555556,"(0.78,)",0.6364444444444445,0.6,0.1431111111111111,0.18
-24,50,9.818669,0.74,0.8240759744664568,0.778695652173913,"(0.74,)",0.6378260869565218,0.7,0.1408695652173913,0.04
-28,50,10.026675,0.78,0.8247058823529412,0.7787234042553192,"(0.78,)",0.6370212765957447,0.6,0.14170212765957446,0.18
-20,50,10.255602,0.7,0.8237656634893434,0.7770833333333333,"(0.7,)",0.635,0.54,0.14208333333333334,0.16
-32,50,10.467492,0.82,0.8245934845913179,0.7779591836734694,"(0.82,)",0.6342857142857142,0.6,0.1436734693877551,0.22
-26,50,10.687638,0.76,0.8245317022554749,0.7776,"(0.76,)",0.634,0.62,0.1436,0.14
-32,50,10.891943,0.82,0.8255519203458732,0.7784313725490196,"(0.82,)",0.636078431372549,0.74,0.1423529411764706,0.08
-32,50,11.098234,0.82,0.8266286395842153,0.7792307692307693,"(0.82,)",0.6376923076923077,0.72,0.14153846153846153,0.1
-14,50,11.334253,0.64,0.823698029507392,0.7766037735849056,"(0.64,)",0.6354716981132076,0.52,0.14113207547169812,0.12
-32,50,11.537702,0.82,0.8242045636913713,0.7774074074074074,"(0.82,)",0.6370370370370371,0.72,0.14037037037037037,0.1
-26,50,11.751634,0.76,0.8237262912168077,0.777090909090909,"(0.76,)",0.6367272727272727,0.62,0.14036363636363636,0.14
-36,50,11.9386,0.86,0.8251721006448581,0.7785714285714286,"(0.86,)",0.6385714285714286,0.74,0.14,0.12
-30,50,12.148081,0.8,0.8250964174134497,0.7789473684210526,"(0.8,)",0.6364912280701754,0.52,0.1424561403508772,0.28
-24,50,12.36249,0.74,0.8253223039893764,0.7782758620689655,"(0.74,)",0.6358620689655172,0.6,0.1424137931034483,0.14
-28,50,12.568692,0.78,0.8253887476800322,0.7783050847457628,"(0.78,)",0.6366101694915254,0.68,0.14169491525423727,0.1
-24,50,12.800191,0.74,0.8242953009363891,0.7776666666666666,"(0.74,)",0.635,0.54,0.14266666666666666,0.2
-28,50,13.000768,0.78,0.8242824700870219,0.7777049180327869,"(0.78,)",0.6350819672131147,0.64,0.14262295081967213,0.14
-18,50,13.241054,0.68,0.8220014804308778,0.7761290322580645,"(0.68,)",0.6325806451612903,0.48,0.1435483870967742,0.2
-34,50,13.43702,0.84,0.8227399799369592,0.7771428571428571,"(0.84,)",0.6346031746031746,0.76,0.14253968253968255,0.08
-28,50,13.647402,0.78,0.8225449200181612,0.7771875,"(0.78,)",0.63375,0.58,0.1434375,0.2
-18,50,13.874513,0.68,0.8216021335440538,0.7756923076923077,"(0.68,)",0.6332307692307693,0.6,0.14246153846153847,0.08
-18,50,14.100855,0.68,0.8198840284891827,0.7742424242424243,"(0.68,)",0.6324242424242424,0.58,0.14181818181818182,0.1
-34,50,14.298764,0.84,0.8207125881631402,0.775223880597015,"(0.84,)",0.6334328358208955,0.7,0.1417910447761194,0.14
