#{"t_start": 1669741685.0607278, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate
49,49,1.082141,0.0,0.0
49,49,1.591483,0.0,0.0
21,49,2.093557,0.2857142857142857,0.11005143591941706
-15,49,2.504602,0.6530612244897959,0.2641312213556324
-11,49,2.95435,0.6122448979591837,0.33787606068398046
-11,49,3.378679,0.6122448979591837,0.38534165466474635
-17,49,3.824964,0.673469387755102,0.43358996818957174
-25,49,4.237439,0.7551020408163265,0.4762694719805786
-15,49,4.665293,0.6530612244897959,0.49824852840273015
-17,49,5.104519,0.673469387755102,0.5170897005636832
-9,49,5.543939,0.5918367346938775,0.5300883381751349
-11,49,6.003309,0.6122448979591837,0.5408210269611163
-11,49,6.4346,0.6122448979591837,0.5515796341371609
-9,49,6.876386,0.5918367346938775,0.5593208496366685
-17,49,7.282655,0.673469387755102,0.567821695977712
-9,49,7.728637,0.5918367346938775,0.5721965423853062
-27,49,8.211612,0.7755102040816326,0.5880928778404758
-25,49,8.674615,0.7551020408163265,0.5976461272674921
-19,49,9.12361,0.6938775510204082,0.6059689763564302
-11,49,9.561685,0.6122448979591837,0.6085889769920707
-21,49,10.153277,0.7142857142857143,0.6152716820176795
-5,49,10.70007,0.5510204081632653,0.6172939889417818
-11,49,11.269662,0.6122448979591837,0.6186783070576934
-23,49,11.803641,0.7346938775510204,0.6260278240609041
-9,49,12.356092,0.5918367346938775,0.6267836257309941
-13,49,12.907304,0.6326530612244898,0.6302263665112559
-23,49,13.451222,0.7346938775510204,0.6348403452646828
-23,49,13.983121,0.7346938775510204,0.6398407672967688
-15,49,14.527242,0.6530612244897959,0.6418375146119953
-9,49,15.120544,0.5918367346938775,0.6416972122820566
-7,49,15.686428,0.5714285714285714,0.64091420874854
-11,49,16.309819,0.6122448979591837,0.6415015364511552
3,49,16.924422,0.46938775510204084,0.6369684669075788
-17,49,17.528423,0.673469387755102,0.6385481948556269
-15,49,18.14999,0.6530612244897959,0.6405055027047193
-9,49,18.706192,0.5918367346938775,0.6411614532702214
-11,49,19.279229,0.6122448979591837,0.6418258816872519
-15,49,19.833523,0.6530612244897959,0.643882539245387
-19,49,20.397343,0.6938775510204082,0.6459458099996647
-19,49,20.949308,0.6938775510204082,0.6480983919836013
-15,49,21.509196,0.6530612244897959,0.6492781291015391
-7,49,22.068045,0.5714285714285714,0.6484361036639857
-21,49,22.623258,0.7142857142857143,0.6503224726962976
-7,49,23.186539,0.5714285714285714,0.6508289917026614
-17,49,23.743063,0.673469387755102,0.6530412318766963
-17,49,24.291569,0.673469387755102,0.6546352205725652
-9,49,24.862631,0.5918367346938775,0.6539932414579538
-15,49,25.410448,0.6530612244897959,0.6549417732566067
-19,49,25.965692,0.6938775510204082,0.6569738655675842
-11,49,26.509575,0.6122448979591837,0.656155209769549
-15,49,27.056848,0.6530612244897959,0.6563239683029741
-17,49,27.650576,0.673469387755102,0.6581309165164559
-21,49,28.17594,0.7142857142857143,0.6597384746833092
-17,49,28.765545,0.673469387755102,0.6605042527339003
-13,49,29.329535,0.6326530612244898,0.6604874965715444
-17,49,29.895375,0.673469387755102,0.661181723889387
-17,49,30.435189,0.673469387755102,0.6616992652385387
-15,49,30.990812,0.6530612244897959,0.662183173047023
-13,49,31.557482,0.6326530612244898,0.6624939603130086
-7,49,32.126806,0.5714285714285714,0.6610255625621578
-23,49,32.688833,0.7346938775510204,0.6630657938580934
-3,49,33.255324,0.5306122448979592,0.6624377293832697
