#{"t_start": 1672831967.774019, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
-16,50,0.301119,0.66,0.6470070422535211,0.66,"(0.66,)",0.0,0.0,0.66,0.66
2,50,0.568225,0.48,0.575049504950495,0.57,"(0.48,)",0.0,0.0,0.57,0.48
2,50,0.798694,0.48,0.5533002869814766,0.54,"(0.48,)",0.0,0.0,0.54,0.48
-18,50,1.047928,0.68,0.5994869771112865,0.575,"(0.68,)",0.075,0.3,0.5,0.38
-12,50,1.269163,0.62,0.6067929253404288,0.584,"(0.62,)",0.06,0.0,0.524,0.62
-12,50,1.508225,0.62,0.6080087882196009,0.59,"(0.62,)",0.05,0.0,0.54,0.62
-16,50,1.747513,0.66,0.6148295874694691,0.6,"(0.66,)",0.04285714285714286,0.0,0.5571428571428572,0.66
-10,50,1.977308,0.6,0.6132364874225662,0.6,"(0.6,)",0.045,0.06,0.555,0.54
-6,50,2.223322,0.56,0.6056308213378493,0.5955555555555555,"(0.56,)",0.04,0.0,0.5555555555555556,0.56
-16,50,2.448582,0.66,0.6121544663424623,0.602,"(0.66,)",0.036,0.0,0.566,0.66
-2,50,2.687905,0.52,0.6036257445209045,0.5945454545454546,"(0.52,)",0.03272727272727273,0.0,0.5618181818181818,0.52
-6,50,2.923041,0.56,0.5989445561316263,0.5916666666666667,"(0.56,)",0.03,0.0,0.5616666666666666,0.56
-8,50,3.163476,0.58,0.5983531228173363,0.5907692307692308,"(0.58,)",0.027692307692307693,0.0,0.563076923076923,0.58
-6,50,3.387092,0.56,0.595942220500786,0.5885714285714285,"(0.56,)",0.02857142857142857,0.04,0.56,0.52
-12,50,3.615914,0.62,0.6028987046081971,0.5906666666666667,"(0.62,)",0.04533333333333334,0.28,0.5453333333333333,0.34
-14,50,3.831092,0.64,0.6048424847863112,0.59375,"(0.64,)",0.04875,0.1,0.545,0.54
-22,50,4.065901,0.72,0.6139375682002592,0.6011764705882353,"(0.72,)",0.04941176470588235,0.06,0.5517647058823529,0.66
-14,50,4.263081,0.64,0.6149794427484957,0.6033333333333334,"(0.64,)",0.04666666666666667,0.0,0.5566666666666666,0.64
-18,50,4.476176,0.68,0.6209225259000151,0.6073684210526316,"(0.68,)",0.05052631578947368,0.12,0.5568421052631579,0.56
-4,50,4.715172,0.54,0.6167968160405463,0.604,"(0.54,)",0.051,0.06,0.553,0.48
-16,50,4.939524,0.66,0.6168405432824069,0.6066666666666667,"(0.66,)",0.04857142857142857,0.0,0.5580952380952381,0.66
-4,50,5.191459,0.54,0.6116850678733031,0.6036363636363636,"(0.54,)",0.046363636363636364,0.0,0.5572727272727273,0.54
-8,50,5.414611,0.58,0.6099392181240503,0.6026086956521739,"(0.58,)",0.04434782608695652,0.0,0.5582608695652174,0.58
-24,50,5.609554,0.74,0.6160393968678431,0.6083333333333333,"(0.74,)",0.0425,0.0,0.5658333333333333,0.74
-2,50,5.845016,0.52,0.6122646433527262,0.6048,"(0.52,)",0.0408,0.0,0.564,0.52
-10,50,6.068348,0.6,0.612258024993874,0.6046153846153847,"(0.6,)",0.043076923076923075,0.1,0.5615384615384615,0.5
-20,50,6.283682,0.7,0.6163165204030375,0.6081481481481481,"(0.7,)",0.04148148148148148,0.0,0.5666666666666667,0.7
-6,50,6.511866,0.56,0.6130513030800073,0.6064285714285714,"(0.56,)",0.04071428571428572,0.02,0.5657142857142857,0.54
2,50,6.76871,0.48,0.6075234488528777,0.6020689655172414,"(0.48,)",0.04206896551724138,0.08,0.56,0.4
-16,50,6.994308,0.66,0.6105559307971727,0.604,"(0.66,)",0.042666666666666665,0.06,0.5613333333333334,0.6
-16,50,7.227824,0.66,0.6129088800103106,0.6058064516129033,"(0.66,)",0.04129032258064516,0.0,0.5645161290322581,0.66
-12,50,7.47838,0.62,0.6132573770082203,0.60625,"(0.62,)",0.04,0.0,0.56625,0.62
-6,50,7.730351,0.56,0.6109776068061356,0.6048484848484849,"(0.56,)",0.03878787878787879,0.0,0.566060606060606,0.56
-10,50,7.950161,0.6,0.6103440986494422,0.6047058823529412,"(0.6,)",0.03764705882352941,0.0,0.5670588235294117,0.6
-10,50,8.187644,0.6,0.6106558312598444,0.6045714285714285,"(0.6,)",0.036571428571428574,0.0,0.568,0.6
-12,50,8.410724,0.62,0.611168686756366,0.605,"(0.62,)",0.035555555555555556,0.0,0.5694444444444444,0.62
-10,50,8.643903,0.6,0.6106728598489763,0.6048648648648649,"(0.6,)",0.034594594594594595,0.0,0.5702702702702702,0.6
-4,50,8.87938,0.54,0.6090822630329759,0.6031578947368421,"(0.54,)",0.03368421052631579,0.0,0.5694736842105264,0.54
-14,50,9.110049,0.64,0.6092811855786294,0.6041025641025641,"(0.64,)",0.03333333333333333,0.02,0.5707692307692308,0.62
-6,50,9.353853,0.56,0.6085930292464925,0.603,"(0.56,)",0.0345,0.08,0.5685,0.48
-12,50,9.570254,0.62,0.6084833225502194,0.6034146341463414,"(0.62,)",0.03463414634146342,0.04,0.568780487804878,0.58
-12,50,9.782557,0.62,0.6087069169162304,0.6038095238095238,"(0.62,)",0.03428571428571429,0.02,0.5695238095238095,0.6
