#{"t_start": 1672836171.456703, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
-6,50,0.480301,0.56,0.5755575117370892,0.56,"(0.56,)",0.0,0.0,0.56,0.56
-4,50,0.793462,0.54,0.5626138613861386,0.55,"(0.54,)",0.0,0.0,0.55,0.54
-2,50,1.528983,0.52,0.5546569266892774,0.54,"(0.52,)",0.0,0.0,0.54,0.52
-20,50,1.837433,0.7,0.5855958958168903,0.58,"(0.7,)",0.05,0.2,0.53,0.5
-10,50,2.17253,0.6,0.5897949600876506,0.584,"(0.6,)",0.072,0.16,0.512,0.44
-24,50,2.446957,0.74,0.6121151884497685,0.61,"(0.74,)",0.08,0.12,0.53,0.62
-14,50,2.766488,0.64,0.6120734084746902,0.6142857142857143,"(0.64,)",0.06857142857142857,0.0,0.5457142857142857,0.64
-2,50,3.064692,0.52,0.6096938270627585,0.6025,"(0.52,)",0.0775,0.14,0.525,0.38
-14,50,3.375736,0.64,0.618067315834039,0.6066666666666667,"(0.64,)",0.08444444444444445,0.14,0.5222222222222223,0.5
-10,50,3.66634,0.6,0.6154338367033529,0.606,"(0.6,)",0.084,0.08,0.522,0.52
-14,50,3.963522,0.64,0.6200052044179726,0.6090909090909091,"(0.64,)",0.0890909090909091,0.14,0.52,0.5
-4,50,4.253673,0.54,0.6137181250661305,0.6033333333333334,"(0.54,)",0.09,0.1,0.5133333333333333,0.44
-12,50,4.561539,0.62,0.6158634464336041,0.6046153846153847,"(0.62,)",0.09076923076923077,0.1,0.5138461538461538,0.52
-22,50,4.834279,0.72,0.6234649472557017,0.6128571428571429,"(0.72,)",0.10714285714285714,0.32,0.5057142857142857,0.4
-22,50,5.125923,0.72,0.6306859205776173,0.62,"(0.72,)",0.11066666666666666,0.16,0.5093333333333333,0.56
-14,50,5.410804,0.64,0.6298417377966794,0.62125,"(0.64,)",0.11,0.1,0.51125,0.54
-14,50,5.726957,0.64,0.6319750795086784,0.6223529411764706,"(0.64,)",0.10705882352941176,0.06,0.5152941176470588,0.58
-8,50,6.013111,0.58,0.6284519419103245,0.62,"(0.58,)",0.10333333333333333,0.04,0.5166666666666667,0.54
-22,50,6.285671,0.72,0.6360775912567574,0.6252631578947369,"(0.72,)",0.10526315789473684,0.14,0.52,0.58
-20,50,6.565971,0.7,0.6393498621714159,0.629,"(0.7,)",0.104,0.08,0.525,0.62
-16,50,6.874533,0.66,0.6398558514906955,0.6304761904761905,"(0.66,)",0.09904761904761905,0.0,0.5314285714285715,0.66
-2,50,7.17254,0.52,0.6334696832579185,0.6254545454545455,"(0.52,)",0.09454545454545454,0.0,0.5309090909090909,0.52
-10,50,7.479521,0.6,0.6341414560022103,0.6243478260869565,"(0.6,)",0.09391304347826086,0.08,0.5304347826086957,0.52
-10,50,7.794939,0.6,0.6339175789989278,0.6233333333333333,"(0.6,)",0.09416666666666666,0.1,0.5291666666666667,0.5
-18,50,8.103595,0.68,0.636490942190424,0.6256,"(0.68,)",0.0952,0.12,0.5304,0.56
-16,50,8.384739,0.66,0.6375091889242832,0.6269230769230769,"(0.66,)",0.09230769230769231,0.02,0.5346153846153846,0.64
-16,50,8.720549,0.66,0.6376562361492776,0.6281481481481481,"(0.66,)",0.09185185185185185,0.08,0.5362962962962963,0.58
-12,50,9.009348,0.62,0.6361114907964279,0.6278571428571429,"(0.62,)",0.08928571428571429,0.02,0.5385714285714286,0.6
-4,50,9.324461,0.54,0.6331850808049672,0.6248275862068966,"(0.54,)",0.08620689655172414,0.0,0.5386206896551724,0.54
-14,50,9.613137,0.64,0.6344673903216027,0.6253333333333333,"(0.64,)",0.09066666666666667,0.22,0.5346666666666666,0.42
-4,50,9.961665,0.54,0.6325815182368862,0.6225806451612903,"(0.54,)",0.09419354838709677,0.2,0.5283870967741936,0.34
-18,50,10.242051,0.68,0.6355545561302252,0.624375,"(0.68,)",0.096875,0.18,0.5275,0.5
-18,50,10.542745,0.68,0.6368785186190057,0.6260606060606061,"(0.68,)",0.09818181818181818,0.14,0.5278787878787878,0.54
-14,50,10.840982,0.64,0.6382994715208455,0.6264705882352941,"(0.64,)",0.09529411764705882,0.0,0.5311764705882352,0.64
-14,50,11.147996,0.64,0.638267856735225,0.6268571428571429,"(0.64,)",0.09542857142857143,0.1,0.5314285714285715,0.54
-12,50,11.436217,0.62,0.6382608695652174,0.6266666666666667,"(0.62,)",0.095,0.08,0.5316666666666666,0.54
2,50,11.779549,0.48,0.6344724982916851,0.6227027027027027,"(0.48,)",0.09513513513513513,0.1,0.5275675675675676,0.38
-18,50,12.062438,0.68,0.6360782399380545,0.6242105263157894,"(0.68,)",0.09842105263157895,0.22,0.5257894736842105,0.46
-18,50,12.356332,0.68,0.6382772060541232,0.6256410256410256,"(0.68,)",0.10461538461538461,0.34,0.521025641025641,0.34
0,50,12.677597,0.5,0.6341931953879764,0.6225,"(0.5,)",0.104,0.08,0.5185,0.42
-10,50,14.814749,0.6,0.6330727197611605,0.6219512195121951,"(0.6,)",0.10292682926829268,0.06,0.5190243902439025,0.54
-18,50,15.085361,0.68,0.6340824055658429,0.6233333333333333,"(0.68,)",0.10809523809523809,0.32,0.5152380952380953,0.36
-6,50,15.395797,0.56,0.6321074464720874,0.621860465116279,"(0.56,)",0.10930232558139535,0.16,0.5125581395348837,0.4
-18,50,15.678927,0.68,0.6351686021599088,0.6231818181818182,"(0.68,)",0.1159090909090909,0.4,0.5072727272727273,0.28
-14,50,15.994186,0.64,0.6356381843786005,0.6235555555555555,"(0.64,)",0.11733333333333333,0.18,0.5062222222222222,0.46
-10,50,16.287569,0.6,0.635232115214026,0.6230434782608696,"(0.6,)",0.11739130434782609,0.12,0.5056521739130435,0.48
-26,50,16.566665,0.76,0.637381074168798,0.6259574468085106,"(0.76,)",0.12085106382978723,0.28,0.5051063829787235,0.48
-16,50,16.85322,0.66,0.637761727535611,0.6266666666666667,"(0.66,)",0.12041666666666667,0.1,0.50625,0.56
-4,50,17.179554,0.54,0.6361206955985043,0.6248979591836735,"(0.54,)",0.11795918367346939,0.0,0.506938775510204,0.54
-12,50,17.475701,0.62,0.6366118726448583,0.6248,"(0.62,)",0.12,0.22,0.5048,0.4
0,50,17.805572,0.5,0.6354601934043511,0.6223529411764706,"(0.5,)",0.1207843137254902,0.16,0.5015686274509804,0.34
-10,50,18.094075,0.6,0.6351223159852795,0.6219230769230769,"(0.6,)",0.12153846153846154,0.16,0.5003846153846154,0.44
-10,50,18.405527,0.6,0.635460382584033,0.6215094339622641,"(0.6,)",0.12603773584905661,0.36,0.49547169811320757,0.24
-20,50,18.676517,0.7,0.6372673724003067,0.6229629629629629,"(0.7,)",0.12962962962962962,0.32,0.49333333333333335,0.38
-12,50,18.998619,0.62,0.6372278961190546,0.6229090909090909,"(0.62,)",0.13127272727272726,0.22,0.49163636363636365,0.4
-14,50,19.275426,0.64,0.6376819482681074,0.6232142857142857,"(0.64,)",0.1325,0.2,0.4907142857142857,0.44
-20,50,19.582152,0.7,0.6386650026622193,0.624561403508772,"(0.7,)",0.1319298245614035,0.1,0.4926315789473684,0.6
-14,50,19.857251,0.64,0.639310020472528,0.6248275862068966,"(0.64,)",0.13620689655172413,0.38,0.4886206896551724,0.26
-24,50,20.152133,0.74,0.6408526595947336,0.6267796610169492,"(0.74,)",0.13661016949152543,0.16,0.4901694915254237,0.58
-16,50,20.396466,0.66,0.641821104463161,0.6273333333333333,"(0.66,)",0.13966666666666666,0.32,0.4876666666666667,0.34
-14,50,20.683448,0.64,0.6421152626579197,0.6275409836065574,"(0.64,)",0.13836065573770492,0.06,0.48918032786885246,0.58
-10,50,20.962435,0.6,0.6408246931729361,0.6270967741935484,"(0.6,)",0.13612903225806453,0.0,0.49096774193548387,0.6
-6,50,21.26516,0.56,0.6397309312000652,0.626031746031746,"(0.56,)",0.13682539682539682,0.18,0.4892063492063492,0.38
-10,50,21.543951,0.6,0.6392476665169959,0.625625,"(0.6,)",0.1365625,0.12,0.4890625,0.48
-18,50,21.834749,0.68,0.6402385420782299,0.6264615384615385,"(0.68,)",0.13907692307692307,0.3,0.48738461538461536,0.38
-4,50,22.136339,0.54,0.6391402632353764,0.6251515151515151,"(0.54,)",0.13818181818181818,0.08,0.486969696969697,0.46
-22,50,22.406922,0.72,0.6404429239497087,0.6265671641791045,"(0.72,)",0.13671641791044775,0.04,0.4898507462686567,0.68
-18,50,22.664851,0.68,0.6406712385015835,0.6273529411764706,"(0.68,)",0.13852941176470587,0.26,0.4888235294117647,0.42
-14,50,22.952067,0.64,0.6403766551957616,0.6275362318840579,"(0.64,)",0.13971014492753622,0.22,0.48782608695652174,0.42
-16,50,23.230432,0.66,0.6411496752174392,0.628,"(0.66,)",0.14057142857142857,0.2,0.48742857142857143,0.46
-4,50,23.519066,0.54,0.6397878536244312,0.6267605633802817,"(0.54,)",0.13859154929577464,0.0,0.488169014084507,0.54
-18,50,23.785057,0.68,0.6404431092752535,0.6275,"(0.68,)",0.1388888888888889,0.16,0.4886111111111111,0.52
-10,50,24.076763,0.6,0.6398414966526421,0.6271232876712329,"(0.6,)",0.13972602739726028,0.2,0.4873972602739726,0.4
-20,50,24.333244,0.7,0.6415527149463925,0.6281081081081081,"(0.7,)",0.1437837837837838,0.44,0.4843243243243243,0.26
6,50,24.665561,0.44,0.63836778318378,0.6256,"(0.44,)",0.14213333333333333,0.02,0.48346666666666666,0.42
-22,50,24.926285,0.72,0.6396537492856992,0.6268421052631579,"(0.72,)",0.14289473684210527,0.2,0.4839473684210526,0.52
-18,50,25.207437,0.68,0.6405636497301632,0.6275324675324675,"(0.68,)",0.14155844155844155,0.04,0.48597402597402595,0.64
-18,50,25.445695,0.68,0.6409285343399461,0.6282051282051282,"(0.68,)",0.14153846153846153,0.14,0.4866666666666667,0.54
-12,50,25.743309,0.62,0.641103683281691,0.6281012658227848,"(0.62,)",0.14050632911392405,0.06,0.4875949367088608,0.56
-18,50,26.009964,0.68,0.6419554020541962,0.62875,"(0.68,)",0.14125,0.2,0.4875,0.48
-16,50,26.302518,0.66,0.6421604031906027,0.6291358024691358,"(0.66,)",0.14246913580246914,0.24,0.4866666666666667,0.42
-14,50,28.269408,0.64,0.6422342672827676,0.6292682926829268,"(0.64,)",0.14317073170731706,0.2,0.48609756097560974,0.44
-24,50,28.540851,0.74,0.643376179163152,0.6306024096385542,"(0.74,)",0.14313253012048194,0.14,0.4874698795180723,0.6
0,50,28.824525,0.5,0.6417513993563057,0.6290476190476191,"(0.5,)",0.14142857142857143,0.0,0.4876190476190476,0.5
-8,50,29.126284,0.58,0.6411555211275589,0.6284705882352941,"(0.58,)",0.13976470588235293,0.0,0.48870588235294116,0.58
-36,50,29.361451,0.86,0.6438699725670278,0.6311627906976744,"(0.86,)",0.14046511627906977,0.2,0.4906976744186046,0.66
-14,50,29.653211,0.64,0.643945352164682,0.631264367816092,"(0.64,)",0.13885057471264367,0.0,0.4924137931034483,0.64
