#{"t_start": 1672835737.739347, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
-2,50,9.558422,0.52,0.5425469483568075,0.52,"(0.52,)",0.0,0.0,0.52,0.52
6,50,9.85089,0.44,0.5058217821782178,0.48,"(0.44,)",0.0,0.0,0.48,0.44
-6,50,10.632951,0.56,0.54004696060527,0.5066666666666667,"(0.56,)",0.0,0.0,0.5066666666666667,0.56
-14,50,10.91295,0.64,0.5796764009471191,0.54,"(0.64,)",0.08,0.32,0.46,0.32
-10,50,11.265853,0.6,0.5845046173110033,0.552,"(0.6,)",0.076,0.06,0.476,0.54
-16,50,11.549892,0.66,0.597546622028091,0.57,"(0.66,)",0.06333333333333334,0.0,0.5066666666666667,0.66
-12,50,11.869252,0.62,0.6055078763976964,0.5771428571428572,"(0.62,)",0.05714285714285714,0.02,0.52,0.6
-2,50,12.160933,0.52,0.5974231598947097,0.57,"(0.52,)",0.05,0.0,0.52,0.52
-10,50,12.505171,0.6,0.598645215918713,0.5733333333333334,"(0.6,)",0.04888888888888889,0.04,0.5244444444444445,0.56
0,50,12.815358,0.5,0.5907985666751984,0.566,"(0.5,)",0.044,0.0,0.522,0.5
-4,50,13.127999,0.54,0.5862776846122708,0.5636363636363636,"(0.54,)",0.04909090909090909,0.1,0.5145454545454545,0.44
-8,50,13.451794,0.58,0.5876626811977569,0.565,"(0.58,)",0.06166666666666667,0.2,0.5033333333333333,0.38
-6,50,13.76191,0.56,0.5868960531313948,0.5646153846153846,"(0.56,)",0.05846153846153846,0.02,0.5061538461538462,0.54
-14,50,14.057053,0.64,0.5895286049531795,0.57,"(0.64,)",0.06571428571428571,0.16,0.5042857142857143,0.48
-14,50,14.388373,0.64,0.595062645997027,0.5746666666666667,"(0.64,)",0.06666666666666667,0.08,0.508,0.56
-6,50,14.7004,0.56,0.5960080874077468,0.57375,"(0.56,)",0.0625,0.0,0.51125,0.56
-12,50,15.026874,0.62,0.6003674653286203,0.5764705882352941,"(0.62,)",0.058823529411764705,0.0,0.5176470588235295,0.62
-6,50,15.308196,0.56,0.5994512184362373,0.5755555555555556,"(0.56,)",0.05555555555555555,0.0,0.52,0.56
-4,50,15.665157,0.54,0.5953154027682471,0.5736842105263158,"(0.54,)",0.05263157894736842,0.0,0.5210526315789473,0.54
-10,50,15.966336,0.6,0.5955863077033071,0.575,"(0.6,)",0.055,0.1,0.52,0.5
-4,50,16.307837,0.54,0.5942264888027498,0.5733333333333334,"(0.54,)",0.05238095238095238,0.0,0.520952380952381,0.54
-24,50,16.588028,0.74,0.6007891402714932,0.5809090909090909,"(0.74,)",0.05090909090909091,0.02,0.53,0.72
-16,50,16.885653,0.66,0.6056637657134963,0.5843478260869566,"(0.66,)",0.04869565217391304,0.0,0.5356521739130434,0.66
-4,50,17.185072,0.54,0.6028210593203511,0.5825,"(0.54,)",0.04666666666666667,0.0,0.5358333333333334,0.54
0,50,17.536309,0.5,0.5998395946582475,0.5792,"(0.5,)",0.048,0.08,0.5312,0.42
-6,50,17.84224,0.56,0.6004226905170301,0.5784615384615385,"(0.56,)",0.046153846153846156,0.0,0.5323076923076923,0.56
-30,50,18.128939,0.8,0.6065124250214224,0.5866666666666667,"(0.8,)",0.044444444444444446,0.0,0.5422222222222223,0.8
2,50,18.430719,0.48,0.601398760707126,0.5828571428571429,"(0.48,)",0.04285714285714286,0.0,0.54,0.48
-12,50,18.750263,0.62,0.6031144039808005,0.5841379310344827,"(0.62,)",0.04206896551724138,0.02,0.5420689655172414,0.6
-2,50,19.054845,0.52,0.6011211155844639,0.582,"(0.52,)",0.04066666666666666,0.0,0.5413333333333333,0.52
-12,50,19.367998,0.62,0.6023198865833226,0.5832258064516129,"(0.62,)",0.04129032258064516,0.06,0.5419354838709678,0.56
-10,50,19.672873,0.6,0.6027484196586963,0.58375,"(0.6,)",0.04,0.0,0.54375,0.6
-2,50,19.994809,0.52,0.6002315869032276,0.5818181818181818,"(0.52,)",0.03878787878787879,0.0,0.5430303030303031,0.52
-14,50,20.280395,0.64,0.6018273634762185,0.5835294117647059,"(0.64,)",0.039411764705882354,0.06,0.5441176470588235,0.58
-24,50,20.56781,0.74,0.6065377679366312,0.588,"(0.74,)",0.04285714285714286,0.16,0.5451428571428572,0.58
-20,50,20.845649,0.7,0.6099143778494385,0.5911111111111111,"(0.7,)",0.041666666666666664,0.0,0.5494444444444444,0.7
-12,50,21.159606,0.62,0.6106469107610868,0.5918918918918918,"(0.62,)",0.04054054054054054,0.0,0.5513513513513514,0.62
-18,50,21.437732,0.68,0.6133452286767552,0.5942105263157895,"(0.68,)",0.039473684210526314,0.0,0.5547368421052632,0.68
-14,50,21.740288,0.64,0.6137115316046378,0.5953846153846154,"(0.64,)",0.04205128205128205,0.14,0.5533333333333333,0.5
-6,50,22.047508,0.56,0.6133336528361869,0.5945,"(0.56,)",0.0455,0.18,0.549,0.38
-12,50,24.25573,0.62,0.6140099932183307,0.5951219512195122,"(0.62,)",0.04780487804878049,0.14,0.5473170731707317,0.48
-2,50,24.569474,0.52,0.6120293532679515,0.5933333333333334,"(0.52,)",0.04666666666666667,0.0,0.5466666666666666,0.52
-6,50,24.894616,0.56,0.6111762189110256,0.5925581395348837,"(0.56,)",0.04790697674418604,0.1,0.5446511627906977,0.46
-18,50,25.167039,0.68,0.6131373873383155,0.5945454545454546,"(0.68,)",0.049545454545454545,0.12,0.545,0.56
-16,50,25.469744,0.66,0.6137643845748993,0.596,"(0.66,)",0.04844444444444444,0.0,0.5475555555555556,0.66
-4,50,25.757081,0.54,0.6116709860330823,0.5947826086956521,"(0.54,)",0.04869565217391304,0.06,0.5460869565217391,0.48
-10,50,26.079413,0.6,0.611393009377664,0.5948936170212766,"(0.6,)",0.04765957446808511,0.0,0.5472340425531915,0.6
-8,50,26.386028,0.58,0.6107388615186891,0.5945833333333334,"(0.58,)",0.04666666666666667,0.0,0.5479166666666667,0.58
-2,50,26.713701,0.52,0.6094037774005995,0.5930612244897959,"(0.52,)",0.04775510204081632,0.1,0.5453061224489796,0.42
-10,50,27.022273,0.6,0.6099708629014382,0.5932,"(0.6,)",0.0484,0.08,0.5448,0.52
-18,50,27.315357,0.68,0.6111035887811621,0.5949019607843137,"(0.68,)",0.04745098039215686,0.0,0.5474509803921569,0.68
-16,50,27.592852,0.66,0.6123925853369135,0.5961538461538461,"(0.66,)",0.04807692307692308,0.08,0.5480769230769231,0.58
0,50,27.920773,0.5,0.6110860283801842,0.5943396226415094,"(0.5,)",0.04867924528301887,0.08,0.5456603773584906,0.42
-8,50,28.224086,0.58,0.6109420414762157,0.5940740740740741,"(0.58,)",0.04777777777777778,0.0,0.5462962962962963,0.58
-6,50,28.548906,0.56,0.6105281587394222,0.5934545454545455,"(0.56,)",0.04690909090909091,0.0,0.5465454545454546,0.56
-2,50,28.842998,0.52,0.6089770217349578,0.5921428571428572,"(0.52,)",0.04607142857142857,0.0,0.5460714285714285,0.52
-18,50,29.152197,0.68,0.6110286308304715,0.5936842105263158,"(0.68,)",0.045263157894736845,0.0,0.5484210526315789,0.68
2,50,29.476357,0.48,0.6090023792397499,0.5917241379310345,"(0.48,)",0.045172413793103446,0.04,0.5465517241379311,0.44
-12,50,29.791909,0.62,0.6088085298615912,0.5922033898305085,"(0.62,)",0.04576271186440678,0.08,0.5464406779661017,0.54
-26,50,30.052769,0.76,0.6112874883319113,0.595,"(0.76,)",0.04533333333333334,0.02,0.5496666666666666,0.74
-8,50,30.376146,0.58,0.6104115846839236,0.5947540983606557,"(0.58,)",0.04459016393442623,0.0,0.5501639344262295,0.58
-8,50,30.665033,0.58,0.6090834269386657,0.594516129032258,"(0.58,)",0.04387096774193548,0.0,0.5506451612903226,0.58
-16,50,30.959747,0.66,0.6096516465442177,0.5955555555555555,"(0.66,)",0.04317460317460318,0.0,0.5523809523809524,0.66
6,50,31.286509,0.44,0.607121983278691,0.593125,"(0.44,)",0.0428125,0.02,0.5503125,0.42
-8,50,31.60136,0.58,0.6069537732121691,0.5929230769230769,"(0.58,)",0.045230769230769234,0.2,0.5476923076923077,0.38
-18,50,31.878922,0.68,0.6084416358650292,0.5942424242424242,"(0.68,)",0.04757575757575758,0.2,0.5466666666666666,0.48
2,50,32.213039,0.48,0.6075758011346213,0.5925373134328358,"(0.48,)",0.04955223880597015,0.18,0.5429850746268656,0.3
-12,50,32.532314,0.62,0.6077936727440921,0.5929411764705882,"(0.62,)",0.051470588235294115,0.18,0.5414705882352941,0.44
-10,50,32.842797,0.6,0.6076298969479947,0.5930434782608696,"(0.6,)",0.051304347826086956,0.04,0.5417391304347826,0.56
-12,50,33.128549,0.62,0.6081759881096555,0.5934285714285714,"(0.62,)",0.05057142857142857,0.0,0.5428571428571428,0.62
-10,50,33.446552,0.6,0.6079568466758228,0.5935211267605633,"(0.6,)",0.049859154929577466,0.0,0.543661971830986,0.6
2,50,33.750003,0.48,0.606358296228743,0.5919444444444445,"(0.48,)",0.049166666666666664,0.0,0.5427777777777778,0.48
-16,50,34.056042,0.66,0.606930221481305,0.5928767123287672,"(0.66,)",0.048493150684931506,0.0,0.5443835616438356,0.66
-4,50,34.368732,0.54,0.6066268478877711,0.5921621621621621,"(0.54,)",0.04810810810810811,0.02,0.544054054054054,0.52
-2,50,34.695441,0.52,0.604711305889347,0.5912,"(0.52,)",0.047733333333333336,0.02,0.5434666666666667,0.5
-24,50,34.957714,0.74,0.6066562255285826,0.5931578947368421,"(0.74,)",0.04868421052631579,0.12,0.5444736842105263,0.62
-12,50,35.276866,0.62,0.6071515095821289,0.5935064935064935,"(0.62,)",0.048051948051948054,0.0,0.5454545454545454,0.62
-4,50,35.583705,0.54,0.6065123505122352,0.5928205128205128,"(0.54,)",0.04948717948717949,0.16,0.5433333333333333,0.38
-18,50,35.880201,0.68,0.6080342547637055,0.5939240506329114,"(0.68,)",0.053164556962025315,0.34,0.540759493670886,0.34
-12,50,36.197519,0.62,0.6079697995000051,0.59425,"(0.62,)",0.05375,0.1,0.5405,0.52
-14,50,36.525604,0.64,0.6081749275764912,0.5948148148148148,"(0.64,)",0.05432098765432099,0.1,0.5404938271604939,0.54
-8,50,38.64162,0.58,0.6083369586091483,0.5946341463414634,"(0.58,)",0.05365853658536585,0.0,0.5409756097560976,0.58
-8,50,38.960545,0.58,0.6078194284299234,0.5944578313253012,"(0.58,)",0.05325301204819277,0.02,0.5412048192771084,0.56
-12,50,39.243834,0.62,0.6080042989449609,0.5947619047619047,"(0.62,)",0.05261904761904762,0.0,0.5421428571428571,0.62
-6,50,39.57086,0.56,0.6073117507580982,0.5943529411764706,"(0.56,)",0.052,0.0,0.5423529411764706,0.56
-18,50,39.83428,0.68,0.6078298819579186,0.5953488372093023,"(0.68,)",0.0513953488372093,0.0,0.543953488372093,0.68
0,50,40.146398,0.5,0.6069620603710884,0.5942528735632184,"(0.5,)",0.05103448275862069,0.02,0.5432183908045977,0.48
-2,50,40.474443,0.52,0.6062078292308563,0.5934090909090909,"(0.52,)",0.05159090909090909,0.1,0.5418181818181819,0.42
-16,50,40.773003,0.66,0.606483219054493,0.5941573033707865,"(0.66,)",0.05146067415730337,0.04,0.5426966292134832,0.62
-6,50,41.052632,0.56,0.6060947195272944,0.5937777777777777,"(0.56,)",0.050888888888888886,0.0,0.5428888888888889,0.56
-10,50,41.368808,0.6,0.6061945966157417,0.5938461538461538,"(0.6,)",0.052307692307692305,0.18,0.5415384615384615,0.42
-16,50,41.653936,0.66,0.6067559977533499,0.5945652173913043,"(0.66,)",0.05326086956521739,0.14,0.5413043478260869,0.52
-26,50,41.913212,0.76,0.6087776911560777,0.5963440860215053,"(0.76,)",0.0556989247311828,0.28,0.5406451612903226,0.48
-12,50,42.227627,0.62,0.6093715589047223,0.5965957446808511,"(0.62,)",0.05723404255319149,0.2,0.5393617021276595,0.42
-20,50,42.544912,0.7,0.6103390022159103,0.5976842105263158,"(0.7,)",0.058105263157894736,0.14,0.539578947368421,0.56
-18,50,42.817105,0.68,0.6114143953736073,0.5985416666666666,"(0.68,)",0.058541666666666665,0.1,0.54,0.58
-12,50,43.125308,0.62,0.6117096591387847,0.5987628865979382,"(0.62,)",0.06041237113402062,0.24,0.5383505154639175,0.38
-8,50,43.441371,0.58,0.6112174682141216,0.5985714285714285,"(0.58,)",0.06142857142857143,0.16,0.5371428571428571,0.42
2,50,43.794835,0.48,0.6099932670395691,0.5973737373737373,"(0.48,)",0.06181818181818182,0.1,0.5355555555555556,0.38
-18,50,44.063173,0.68,0.6107865507008582,0.5982,"(0.68,)",0.0614,0.02,0.5368,0.66
-2,50,44.40576,0.52,0.6095360702157142,0.5974257425742574,"(0.52,)",0.06079207920792079,0.0,0.5366336633663367,0.52
0,50,44.730417,0.5,0.6087234349879421,0.5964705882352941,"(0.5,)",0.060980392156862746,0.08,0.5354901960784314,0.42
-16,50,45.027608,0.66,0.6092448743324494,0.5970873786407767,"(0.66,)",0.06097087378640777,0.06,0.5361165048543689,0.6
-14,50,45.354298,0.64,0.6095197562389746,0.5975,"(0.64,)",0.06076923076923077,0.04,0.5367307692307692,0.6
0,50,45.688959,0.5,0.6086286100759228,0.5965714285714285,"(0.5,)",0.060571428571428575,0.04,0.536,0.46
-16,50,45.959648,0.66,0.6093063958611371,0.5971698113207548,"(0.66,)",0.06056603773584906,0.06,0.5366037735849056,0.6
-22,50,46.27474,0.72,0.6107626971434048,0.5983177570093458,"(0.72,)",0.06074766355140187,0.08,0.5375700934579439,0.64
2,50,46.57618,0.48,0.6100341178408556,0.5972222222222222,"(0.48,)",0.06018518518518518,0.0,0.5370370370370371,0.48
-2,50,47.058013,0.52,0.6091006159439474,0.5965137614678899,"(0.52,)",0.06036697247706422,0.08,0.5361467889908257,0.44
