#{"t_start": 1669663676.8703225, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate
49,49,1.160867,0.0,0.0
49,49,1.604513,0.0,0.0
17,49,2.271838,0.32653061224489793,0.14198456922417488
-9,49,2.655195,0.5918367346938775,0.27185012462812574
-13,49,3.063709,0.6326530612244898,0.3526613525327848
11,49,3.556517,0.3877551020408163,0.364004907451859
-21,49,3.954034,0.7142857142857143,0.42031257203448436
-11,49,4.402807,0.6122448979591837,0.4538539348573741
-13,49,4.828959,0.6326530612244898,0.47325845942725075
-19,49,5.202633,0.6938775510204082,0.5035678211853638
-11,49,5.668997,0.6122448979591837,0.5208098654176795
-13,49,6.327033,0.6326530612244898,0.5329901097412275
-13,49,6.743795,0.6326530612244898,0.5461845374018218
-19,49,7.167269,0.6938775510204082,0.5598565306502702
-17,49,7.604272,0.673469387755102,0.571935399616925
-15,49,8.053238,0.6530612244897959,0.5794457227799386
-19,49,8.460492,0.6938775510204082,0.5903805093792893
1,49,8.904703,0.4897959183673469,0.5879283040598906
-7,49,9.379574,0.5714285714285714,0.5905425720923876
-9,49,9.795812,0.5918367346938775,0.594209021188093
-17,49,10.25026,0.673469387755102,0.6003121716016566
-11,49,10.676011,0.6122448979591837,0.6020076283965583
-13,49,11.109937,0.6326530612244898,0.605413346894954
-5,49,11.561428,0.5510204081632653,0.6061689763075547
-17,49,11.988296,0.673469387755102,0.6123326835607538
-9,49,12.400962,0.5918367346938775,0.615814406959739
-13,49,12.876555,0.6326530612244898,0.6184100923522665
-33,49,13.24771,0.8367346938775511,0.6281776701741316
-11,49,13.749132,0.6122448979591837,0.6293948385936516
-9,49,14.154194,0.5918367346938775,0.6302113357769825
-15,49,14.558296,0.6530612244897959,0.6323803310429009
-17,49,15.009526,0.673469387755102,0.6355088664971976
-17,49,15.427312,0.673469387755102,0.6385426464036433
-1,49,15.904161,0.5102040816326531,0.6377023338075282
-23,49,16.310543,0.7346938775510204,0.642566685319903
-15,49,16.721374,0.6530612244897959,0.6447410260836385
-13,49,17.247455,0.6326530612244898,0.6462287922056106
-23,49,17.686259,0.7346938775510204,0.6500791792894519
-5,49,18.162185,0.5510204081632653,0.6493494517286476
-31,49,18.586985,0.8163265306122449,0.6550237241627126
-23,49,18.99954,0.7346938775510204,0.6591973909239152
-11,49,19.454266,0.6122448979591837,0.6599137428604732
-9,49,19.904416,0.5918367346938775,0.6604377718962003
-7,49,20.31991,0.5714285714285714,0.6601579314541866
-13,49,20.813536,0.6326530612244898,0.6614806321930831
-11,49,21.223924,0.6122448979591837,0.6620160545570789
-7,49,21.691349,0.5714285714285714,0.6615653117134156
-17,49,22.162425,0.673469387755102,0.663450786811029
-11,49,22.592416,0.6122448979591837,0.6639724872539442
-15,49,23.065799,0.6530612244897959,0.6650318429518745
-11,49,23.463181,0.6122448979591837,0.6649235875270145
-15,49,23.895518,0.6530612244897959,0.6657948142639255
-17,49,24.365943,0.673469387755102,0.6676511014525056
1,49,24.815464,0.4897959183673469,0.6656682867557716
-23,49,25.26468,0.7346938775510204,0.6678750730410102
-3,49,25.719307,0.5306122448979592,0.6665729069610722
-9,49,26.145344,0.5918367346938775,0.6668448951901296
-11,49,26.619312,0.6122448979591837,0.6667288588858546
-11,49,27.022739,0.6122448979591837,0.6667592289194098
-27,49,27.4308,0.7755102040816326,0.6693642692429591
-17,49,27.870508,0.673469387755102,0.6707243666225963
-13,49,28.296386,0.6326530612244898,0.6715919066707563
-11,49,28.748231,0.6122448979591837,0.6718498826883359
-11,49,29.181533,0.6122448979591837,0.6715383433225757
-5,49,29.610303,0.5510204081632653,0.6706043762042632
-5,49,30.079391,0.5510204081632653,0.6696527053212104
-17,49,30.482102,0.673469387755102,0.6706468440781811
-11,49,30.964102,0.6122448979591837,0.6708755142494731
-9,49,31.36494,0.5918367346938775,0.6707491392615458
-3,49,31.802731,0.5306122448979592,0.6694963638235542
-1,49,32.278427,0.5102040816326531,0.668043084654325
5,49,32.726025,0.4489795918367347,0.6659382781806676
-3,49,33.151952,0.5306122448979592,0.6652493999838198
-7,49,33.645018,0.5714285714285714,0.6647946725860155
5,49,34.089331,0.4489795918367347,0.6631438736701895
11,49,34.63,0.3877551020408163,0.6606011597687381
-3,49,35.058578,0.5306122448979592,0.6595801857215371
3,49,35.535905,0.46938775510204084,0.6579379308603318
-15,49,36.002337,0.6530612244897959,0.6586249293855714
-17,49,36.435598,0.673469387755102,0.6600518041279365
3,49,36.900532,0.46938775510204084,0.6590481431872351
-1,49,37.337937,0.5102040816326531,0.658836845620673
-1,49,37.768506,0.5102040816326531,0.6575111974784937
-5,49,38.25929,0.5510204081632653,0.6574591892525189
-13,49,38.654101,0.6326530612244898,0.6577541962774305
5,49,39.108404,0.4489795918367347,0.6560256512903804
-17,49,39.54655,0.673469387755102,0.6573946675010084
-17,49,39.96569,0.673469387755102,0.658517594024179
-1,49,40.449837,0.5102040816326531,0.657979483853852
-23,49,40.858479,0.7346938775510204,0.6592802830192116
-17,49,41.251876,0.673469387755102,0.6602381689948058
-23,49,41.687826,0.7346938775510204,0.6617979890864636
-23,49,42.087524,0.7346938775510204,0.6633983243726967
-15,49,42.507273,0.6530612244897959,0.6643194779480458
-9,49,42.941311,0.5918367346938775,0.6643749655210459
-13,49,43.377554,0.6326530612244898,0.665118120718316
-21,49,43.799919,0.7142857142857143,0.6665485232067511
-5,49,44.240584,0.5510204081632653,0.666392769104355
-19,49,44.631979,0.6938775510204082,0.6675130176047607
-21,49,45.063983,0.7142857142857143,0.6687374664271998
-21,49,45.486846,0.7142857142857143,0.6698321669258683
3,49,45.96313,0.46938775510204084,0.6687723981276208
-29,49,46.379262,0.7959183673469388,0.6707818146024246
-15,49,46.785846,0.6530612244897959,0.6712784924360816
-15,49,47.285308,0.6530612244897959,0.6716151815407824
-3,49,47.724037,0.5306122448979592,0.6709465742717412
9,49,48.196128,0.40816326530612246,0.6695232469523859
-3,49,48.674916,0.5306122448979592,0.6695679581050283
-1,49,49.108761,0.5102040816326531,0.6684658937395304
-1,49,49.571226,0.5102040816326531,0.667706982113318
-7,49,50.011152,0.5714285714285714,0.6670541103447462
5,49,50.442533,0.4489795918367347,0.6660303446662964
-7,49,50.923728,0.5714285714285714,0.6658661367139066
-5,49,51.329463,0.5510204081632653,0.6651071129419054
-17,49,51.793527,0.673469387755102,0.6654995975460263
3,49,52.210042,0.46938775510204084,0.6645694439350294
-11,49,52.651043,0.6122448979591837,0.6648440273619532
-5,49,53.112062,0.5510204081632653,0.6642625205544788
-5,49,53.54693,0.5510204081632653,0.664140671185229
-13,49,53.938637,0.6326530612244898,0.6645262658279641
-7,49,54.422709,0.5714285714285714,0.6644194391937024
-5,49,54.856867,0.5510204081632653,0.6642525807749028
-7,49,55.335519,0.5714285714285714,0.6640286449258206
19,49,55.858917,0.30612244897959184,0.6617923432649873
13,49,56.551655,0.3673469387755102,0.6602793982433484
3,49,57.337674,0.46938775510204084,0.659646195273593
3,49,58.060427,0.46938775510204084,0.6589466137841755
-11,49,58.739238,0.6122448979591837,0.6593038719247097
-13,49,59.586743,0.6326530612244898,0.6595332910589727
3,49,60.412564,0.46938775510204084,0.6588280909711189
-9,49,61.268119,0.5918367346938775,0.658939652846479
-21,49,61.895257,0.7142857142857143,0.6597628368344196
-19,49,62.296609,0.6938775510204082,0.660570196383472
-11,49,62.731158,0.6122448979591837,0.6607924458252731
-13,49,63.143519,0.6326530612244898,0.6610893668585277
5,49,63.62171,0.4489795918367347,0.6600454725901331
-19,49,64.039737,0.6938775510204082,0.6609086849689934
-3,49,64.438814,0.5306122448979592,0.6607778625845632
-7,49,64.922016,0.5714285714285714,0.6607077288090911
