#{"t_start": 1673805871.8196857, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
50,50,0.416674,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,0.621569,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.104006,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.325639,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.548832,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.77823,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.011387,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.248499,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.492579,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.727872,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.962442,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,3.208399,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,3.439394,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,3.668561,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,3.923178,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,4.147775,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,4.400338,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,4.64364,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,4.885956,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,5.178218,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,5.443238,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
