#{"t_start": 1673815638.4142041, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
48,50,0.227902,0.02,0.013644366197183098,0.02,"(0.02,)",0.02,0.02,0.0,0.0
46,50,0.468809,0.04,0.027564356435643565,0.03,"(0.04,)",0.03,0.04,0.0,0.0
44,50,0.718186,0.06,0.036003130707018,0.04,"(0.06,)",0.04,0.06,0.0,0.0
30,50,0.96665,0.2,0.07355958958168902,0.08,"(0.2,)",0.08,0.2,0.0,0.0
42,50,1.225889,0.08,0.07234308968539678,0.08,"(0.08,)",0.08,0.08,0.0,0.0
42,50,1.505615,0.08,0.07331362958700599,0.08,"(0.08,)",0.08,0.08,0.0,0.0
42,50,1.780255,0.08,0.07775561879579626,0.08,"(0.08,)",0.08,0.08,0.0,0.0
34,50,2.067395,0.16,0.08941753913749084,0.09,"(0.16,)",0.09,0.16,0.0,0.0
34,50,2.365947,0.16,0.09882162009596387,0.09777777777777778,"(0.16,)",0.09777777777777778,0.16,0.0,0.0
36,50,2.641396,0.14,0.10410801126183773,0.102,"(0.14,)",0.102,0.14,0.0,0.0
34,50,2.935151,0.16,0.11329728791996761,0.10727272727272727,"(0.16,)",0.10727272727272727,0.16,0.0,0.0
46,50,3.222811,0.04,0.10669505872394455,0.10166666666666667,"(0.04,)",0.10166666666666667,0.04,0.0,0.0
30,50,3.49461,0.2,0.11633520812655467,0.10923076923076923,"(0.2,)",0.10923076923076923,0.2,0.0,0.0
38,50,3.798697,0.12,0.11721081770750268,0.11,"(0.12,)",0.11,0.12,0.0,0.0
42,50,4.087908,0.08,0.11379273731153111,0.108,"(0.08,)",0.108,0.08,0.0,0.0
44,50,4.381155,0.06,0.11022579006603388,0.105,"(0.06,)",0.105,0.06,0.0,0.0
42,50,4.707956,0.08,0.109083108719374,0.10352941176470588,"(0.08,)",0.10352941176470588,0.08,0.0,0.0
32,50,4.993829,0.18,0.11197967214271849,0.10777777777777778,"(0.18,)",0.10777777777777778,0.18,0.0,0.0
32,50,5.270334,0.18,0.11390148789101073,0.11157894736842106,"(0.18,)",0.11157894736842106,0.18,0.0,0.0
38,50,5.618121,0.12,0.1138773921401959,0.112,"(0.12,)",0.112,0.12,0.0,0.0
24,50,5.891585,0.26,0.12101963872022772,0.11904761904761904,"(0.26,)",0.11904761904761904,0.26,0.0,0.0
34,50,6.176811,0.16,0.12184615384615384,0.12090909090909091,"(0.16,)",0.12090909090909091,0.16,0.0,0.0
34,50,6.472899,0.16,0.12458212460284569,0.12260869565217392,"(0.16,)",0.12260869565217392,0.16,0.0,0.0
44,50,6.747506,0.06,0.12122215014760587,0.12,"(0.06,)",0.12,0.06,0.0,0.0
32,50,7.034,0.18,0.12435233160621761,0.1224,"(0.18,)",0.1224,0.18,0.0,0.0
36,50,7.315742,0.14,0.1239279588336192,0.12307692307692308,"(0.14,)",0.12307692307692308,0.14,0.0,0.0
36,50,7.595051,0.14,0.1246697987767042,0.1237037037037037,"(0.14,)",0.1237037037037037,0.14,0.0,0.0
30,50,7.865204,0.2,0.12787611627483142,0.12642857142857142,"(0.2,)",0.12642857142857142,0.2,0.0,0.0
34,50,8.162581,0.16,0.12975582368224053,0.12758620689655173,"(0.16,)",0.12758620689655173,0.16,0.0,0.0
40,50,8.45332,0.1,0.1293165343275168,0.12666666666666668,"(0.1,)",0.12666666666666668,0.1,0.0,0.0
40,50,8.764078,0.1,0.12889805387292178,0.12580645161290321,"(0.1,)",0.12580645161290321,0.1,0.0,0.0
42,50,9.075699,0.08,0.12744671813707117,0.124375,"(0.08,)",0.124375,0.08,0.0,0.0
40,50,9.3829,0.1,0.1276925611185938,0.12363636363636364,"(0.1,)",0.12363636363636364,0.1,0.0,0.0
40,50,9.671731,0.1,0.12684908984145626,0.12294117647058823,"(0.1,)",0.12294117647058823,0.1,0.0,0.0
40,50,10.000945,0.1,0.1263359737028329,0.12228571428571429,"(0.1,)",0.12228571428571429,0.1,0.0,0.0
44,50,10.351931,0.06,0.12427443567218949,0.12055555555555555,"(0.06,)",0.12055555555555555,0.06,0.0,0.0
36,50,10.678139,0.14,0.1244085770385171,0.12108108108108108,"(0.14,)",0.12108108108108108,0.14,0.0,0.0
36,50,10.976459,0.14,0.12519568401030182,0.12157894736842105,"(0.14,)",0.12157894736842105,0.14,0.0,0.0
30,50,11.280143,0.2,0.1274103582391731,0.12358974358974359,"(0.2,)",0.12358974358974359,0.2,0.0,0.0
40,50,11.61925,0.1,0.12690653343397673,0.123,"(0.1,)",0.123,0.1,0.0,0.0
40,50,11.908964,0.1,0.1266145439522321,0.1224390243902439,"(0.1,)",0.1224390243902439,0.1,0.0,0.0
40,50,12.193429,0.1,0.12600873282582356,0.1219047619047619,"(0.1,)",0.1219047619047619,0.1,0.0,0.0
40,50,12.514769,0.1,0.1256878174005246,0.1213953488372093,"(0.1,)",0.1213953488372093,0.1,0.0,0.0
34,50,12.80244,0.16,0.1262936575375297,0.12227272727272727,"(0.16,)",0.12227272727272727,0.16,0.0,0.0
36,50,13.105909,0.14,0.12690075532353737,0.12266666666666666,"(0.14,)",0.12266666666666666,0.14,0.0,0.0
42,50,13.40899,0.08,0.1259283738889952,0.12173913043478261,"(0.08,)",0.12173913043478261,0.08,0.0,0.0
42,50,13.716894,0.08,0.12564364876385337,0.12085106382978723,"(0.08,)",0.12085106382978723,0.08,0.0,0.0
36,50,14.013595,0.14,0.1261948430973546,0.12125,"(0.14,)",0.12125,0.14,0.0,0.0
42,50,14.323098,0.08,0.125413245524473,0.12040816326530612,"(0.08,)",0.12040816326530612,0.08,0.0,0.0
30,50,14.623359,0.2,0.12735835418761465,0.122,"(0.2,)",0.122,0.2,0.0,0.0
40,50,14.890329,0.1,0.12733765150059986,0.12156862745098039,"(0.1,)",0.12156862745098039,0.1,0.0,0.0
30,50,15.168088,0.2,0.12964536552657518,0.12307692307692308,"(0.2,)",0.12307692307692308,0.2,0.0,0.0
36,50,15.463058,0.14,0.1301319014965805,0.12339622641509435,"(0.14,)",0.12339622641509435,0.14,0.0,0.0
30,50,15.773167,0.2,0.1314513109170773,0.12481481481481481,"(0.2,)",0.12481481481481481,0.2,0.0,0.0
28,50,16.053124,0.22,0.1333206886489641,0.12654545454545454,"(0.22,)",0.12654545454545454,0.22,0.0,0.0
32,50,16.322054,0.18,0.13432014873850157,0.1275,"(0.18,)",0.1275,0.18,0.0,0.0
36,50,16.629493,0.14,0.13428008800818103,0.12771929824561404,"(0.14,)",0.12771929824561404,0.14,0.0,0.0
36,50,16.923026,0.14,0.13451280916283959,0.1279310344827586,"(0.14,)",0.1279310344827586,0.14,0.0,0.0
38,50,17.207423,0.12,0.13439757036101693,0.12779661016949154,"(0.12,)",0.12779661016949154,0.12,0.0,0.0
42,50,17.517795,0.08,0.1329159121971312,0.127,"(0.08,)",0.127,0.08,0.0,0.0
38,50,17.815997,0.12,0.13258810743673344,0.12688524590163935,"(0.12,)",0.12688524590163935,0.12,0.0,0.0
36,50,18.114958,0.14,0.13341218612018407,0.1270967741935484,"(0.14,)",0.1270967741935484,0.14,0.0,0.0
38,50,18.425877,0.12,0.13311878440378652,0.12698412698412698,"(0.12,)",0.12698412698412698,0.12,0.0,0.0
40,50,18.721492,0.1,0.13285488883816252,0.1265625,"(0.1,)",0.1265625,0.1,0.0,0.0
48,50,19.025197,0.02,0.13094132753852233,0.12492307692307693,"(0.02,)",0.12492307692307693,0.02,0.0,0.0
38,50,19.305556,0.12,0.13070519730486685,0.12484848484848485,"(0.12,)",0.12484848484848485,0.12,0.0,0.0
34,50,19.625618,0.16,0.1316433800981294,0.1253731343283582,"(0.16,)",0.1253731343283582,0.16,0.0,0.0
38,50,19.911426,0.12,0.13158105882186363,0.12529411764705883,"(0.12,)",0.12529411764705883,0.12,0.0,0.0
32,50,20.332931,0.18,0.13249942412799018,0.12608695652173912,"(0.18,)",0.12608695652173912,0.18,0.0,0.0
42,50,20.880603,0.08,0.13214017028147823,0.12542857142857142,"(0.08,)",0.12542857142857142,0.08,0.0,0.0
34,50,21.316489,0.16,0.13277023434300467,0.12591549295774648,"(0.16,)",0.12591549295774648,0.16,0.0,0.0
40,50,21.81574,0.1,0.13256173667364055,0.12555555555555556,"(0.1,)",0.12555555555555556,0.1,0.0,0.0
36,50,22.298084,0.14,0.13278514284706236,0.12575342465753425,"(0.14,)",0.12575342465753425,0.14,0.0,0.0
36,50,22.790558,0.14,0.13322621255574377,0.12594594594594594,"(0.14,)",0.12594594594594594,0.14,0.0,0.0
46,50,23.283359,0.04,0.13217281942211814,0.1248,"(0.04,)",0.1248,0.04,0.0,0.0
36,50,23.791187,0.14,0.13253402188406105,0.125,"(0.14,)",0.125,0.14,0.0,0.0
34,50,24.109402,0.16,0.13315775843344305,0.12545454545454546,"(0.16,)",0.12545454545454546,0.16,0.0,0.0
34,50,24.389594,0.16,0.13359528892039133,0.1258974358974359,"(0.16,)",0.1258974358974359,0.16,0.0,0.0
22,50,24.657735,0.28,0.13567513276567367,0.12784810126582277,"(0.28,)",0.12784810126582277,0.28,0.0,0.0
36,50,24.952371,0.14,0.13552273571550486,0.128,"(0.14,)",0.128,0.14,0.0,0.0
32,50,25.224902,0.18,0.13606889162268343,0.12864197530864196,"(0.18,)",0.12864197530864196,0.18,0.0,0.0
26,50,25.502679,0.24,0.1377506829235792,0.13,"(0.24,)",0.13,0.24,0.0,0.0
24,50,25.771908,0.26,0.13899615393544493,0.13156626506024097,"(0.26,)",0.13156626506024097,0.26,0.0,0.0
40,50,26.060508,0.1,0.1387193810131206,0.1311904761904762,"(0.1,)",0.1311904761904762,0.1,0.0,0.0
40,50,26.375252,0.1,0.13796158969175398,0.1308235294117647,"(0.1,)",0.1308235294117647,0.1,0.0,0.0
42,50,26.667791,0.08,0.13723395712687703,0.13023255813953488,"(0.08,)",0.13023255813953488,0.08,0.0,0.0
34,50,26.967678,0.16,0.13772362226530047,0.13057471264367815,"(0.16,)",0.13057471264367815,0.16,0.0,0.0
38,50,27.247273,0.12,0.13782096324105117,0.13045454545454546,"(0.12,)",0.13045454545454546,0.12,0.0,0.0
36,50,27.55318,0.14,0.1379520028870444,0.130561797752809,"(0.14,)",0.130561797752809,0.14,0.0,0.0
38,50,27.833003,0.12,0.1379259898879251,0.13044444444444445,"(0.12,)",0.13044444444444445,0.12,0.0,0.0
26,50,28.120935,0.24,0.1390441957183524,0.13164835164835165,"(0.24,)",0.13164835164835165,0.24,0.0,0.0
36,50,28.426601,0.14,0.13922776636234557,0.1317391304347826,"(0.14,)",0.1317391304347826,0.14,0.0,0.0
34,50,28.908526,0.16,0.13947166895485935,0.13204301075268818,"(0.16,)",0.13204301075268818,0.16,0.0,0.0
32,50,29.294591,0.18,0.14012950895517037,0.1325531914893617,"(0.18,)",0.1325531914893617,0.18,0.0,0.0
32,50,29.605594,0.18,0.1405845750363271,0.13305263157894737,"(0.18,)",0.13305263157894737,0.18,0.0,0.0
38,50,29.898368,0.12,0.1405931238501631,0.13291666666666666,"(0.12,)",0.13291666666666666,0.12,0.0,0.0
42,50,30.173427,0.08,0.14002884705936777,0.13237113402061856,"(0.08,)",0.13237113402061856,0.08,0.0,0.0
30,50,30.448616,0.2,0.14077502448211537,0.13306122448979593,"(0.2,)",0.13306122448979593,0.2,0.0,0.0
38,50,30.735727,0.12,0.1409891625233064,0.13292929292929292,"(0.12,)",0.13292929292929292,0.12,0.0,0.0
40,50,31.04455,0.1,0.14085583535760754,0.1326,"(0.1,)",0.1326,0.1,0.0,0.0
38,50,31.320089,0.12,0.14085632477304508,0.13247524752475248,"(0.12,)",0.13247524752475248,0.12,0.0,0.0
44,50,31.628411,0.06,0.1398651024919614,0.13176470588235295,"(0.06,)",0.13176470588235295,0.06,0.0,0.0
34,50,31.91411,0.16,0.14016382218570664,0.13203883495145632,"(0.16,)",0.13203883495145632,0.16,0.0,0.0
36,50,32.213176,0.14,0.14054655021403106,0.1321153846153846,"(0.14,)",0.1321153846153846,0.14,0.0,0.0
36,50,32.500915,0.14,0.14045498750395033,0.1321904761904762,"(0.14,)",0.1321904761904762,0.14,0.0,0.0
46,50,32.809215,0.04,0.1393752711103319,0.13132075471698113,"(0.04,)",0.13132075471698113,0.04,0.0,0.0
32,50,33.100113,0.18,0.13996807370003653,0.13177570093457944,"(0.18,)",0.13177570093457944,0.18,0.0,0.0
26,50,33.381144,0.24,0.14137756533069373,0.13277777777777777,"(0.24,)",0.13277777777777777,0.24,0.0,0.0
42,50,33.6786,0.08,0.14065671273009653,0.13229357798165137,"(0.08,)",0.13229357798165137,0.08,0.0,0.0
46,50,33.982315,0.04,0.13963681173901835,0.13145454545454546,"(0.04,)",0.13145454545454546,0.04,0.0,0.0
42,50,34.290442,0.08,0.13919512258489145,0.13099099099099099,"(0.08,)",0.13099099099099099,0.08,0.0,0.0
28,50,34.558341,0.22,0.1404031984811075,0.13178571428571428,"(0.22,)",0.13178571428571428,0.22,0.0,0.0
40,50,34.838246,0.1,0.14001743926386456,0.13150442477876106,"(0.1,)",0.13150442477876106,0.1,0.0,0.0
34,50,35.123125,0.16,0.1404162333829853,0.1317543859649123,"(0.16,)",0.1317543859649123,0.16,0.0,0.0
28,50,35.408673,0.22,0.14108765073957966,0.13252173913043477,"(0.22,)",0.13252173913043477,0.22,0.0,0.0
46,50,35.711802,0.04,0.14013480316004456,0.1317241379310345,"(0.04,)",0.1317241379310345,0.04,0.0,0.0
42,50,35.99602,0.08,0.1396542820235693,0.13128205128205128,"(0.08,)",0.13128205128205128,0.08,0.0,0.0
30,50,36.272779,0.2,0.1405419430561763,0.13186440677966102,"(0.2,)",0.13186440677966102,0.2,0.0,0.0
42,50,36.599798,0.08,0.14002409752091705,0.13142857142857142,"(0.08,)",0.13142857142857142,0.08,0.0,0.0
42,50,36.887309,0.08,0.13952783412365943,0.131,"(0.08,)",0.131,0.08,0.0,0.0
32,50,37.180389,0.18,0.1399548174024509,0.13140495867768595,"(0.18,)",0.13140495867768595,0.18,0.0,0.0
36,50,37.468146,0.14,0.1398692466901015,0.13147540983606557,"(0.14,)",0.13147540983606557,0.14,0.0,0.0
36,50,37.767047,0.14,0.13989070468227818,0.13154471544715446,"(0.14,)",0.13154471544715446,0.14,0.0,0.0
38,50,38.042445,0.12,0.13969776968358041,0.1314516129032258,"(0.12,)",0.1314516129032258,0.12,0.0,0.0
28,50,38.327178,0.22,0.14056224384424448,0.13216,"(0.22,)",0.13216,0.22,0.0,0.0
32,50,38.604436,0.18,0.1409228843889026,0.13253968253968254,"(0.18,)",0.13253968253968254,0.18,0.0,0.0
24,50,38.864821,0.26,0.14189961760288755,0.13354330708661416,"(0.26,)",0.13354330708661416,0.26,0.0,0.0
20,50,39.116993,0.3,0.1433204362470731,0.13484375,"(0.3,)",0.13484375,0.3,0.0,0.0
36,50,39.381941,0.14,0.14348367891322794,0.13488372093023257,"(0.14,)",0.13488372093023257,0.14,0.0,0.0
32,50,39.681362,0.18,0.14388752649274847,0.13523076923076924,"(0.18,)",0.13523076923076924,0.18,0.0,0.0
32,50,39.968844,0.18,0.14402468477242197,0.13557251908396947,"(0.18,)",0.13557251908396947,0.18,0.0,0.0
42,50,40.293896,0.08,0.14371225482336594,0.13515151515151516,"(0.08,)",0.13515151515151516,0.08,0.0,0.0
42,50,40.658644,0.08,0.14333905205807781,0.13473684210526315,"(0.08,)",0.13473684210526315,0.08,0.0,0.0
28,50,40.980024,0.22,0.14390233690418514,0.1353731343283582,"(0.22,)",0.1353731343283582,0.22,0.0,0.0
42,50,41.285355,0.08,0.14342515487613472,0.13496296296296295,"(0.08,)",0.13496296296296295,0.08,0.0,0.0
46,50,41.598567,0.04,0.1427165505138187,0.13426470588235295,"(0.04,)",0.13426470588235295,0.04,0.0,0.0
38,50,41.885228,0.12,0.14257342081178948,0.13416058394160585,"(0.12,)",0.13416058394160585,0.12,0.0,0.0
34,50,42.169546,0.16,0.14247008249099571,0.13434782608695653,"(0.16,)",0.13434782608695653,0.16,0.0,0.0
32,50,42.438208,0.18,0.14297299199091928,0.13467625899280575,"(0.18,)",0.13467625899280575,0.18,0.0,0.0
36,50,42.75447,0.14,0.14284700425592314,0.1347142857142857,"(0.14,)",0.1347142857142857,0.14,0.0,0.0
38,50,43.056458,0.12,0.14295831244579185,0.1346099290780142,"(0.12,)",0.1346099290780142,0.12,0.0,0.0
40,50,43.346181,0.1,0.14271787476897455,0.13436619718309858,"(0.1,)",0.13436619718309858,0.1,0.0,0.0
34,50,43.627154,0.16,0.14293556623358292,0.13454545454545455,"(0.16,)",0.13454545454545455,0.16,0.0,0.0
36,50,43.912415,0.14,0.14305019219133716,0.13458333333333333,"(0.14,)",0.13458333333333333,0.14,0.0,0.0
28,50,44.202167,0.22,0.14373795761078997,0.13517241379310344,"(0.22,)",0.13517241379310344,0.22,0.0,0.0
48,50,44.509094,0.02,0.14289255989828728,0.1343835616438356,"(0.02,)",0.1343835616438356,0.02,0.0,0.0
44,50,44.809438,0.06,0.14242742941839998,0.13387755102040816,"(0.06,)",0.13387755102040816,0.06,0.0,0.0
36,50,45.109428,0.14,0.14248885866858382,0.1339189189189189,"(0.14,)",0.1339189189189189,0.14,0.0,0.0
34,50,45.420794,0.16,0.1426802184701067,0.13409395973154362,"(0.16,)",0.13409395973154362,0.16,0.0,0.0
42,50,45.700049,0.08,0.14232477116185122,0.13373333333333334,"(0.08,)",0.13373333333333334,0.08,0.0,0.0
34,50,45.968201,0.16,0.142501188535724,0.13390728476821193,"(0.16,)",0.13390728476821193,0.16,0.0,0.0
36,50,46.248486,0.14,0.1426314513664197,0.13394736842105262,"(0.14,)",0.13394736842105262,0.14,0.0,0.0
30,50,46.542205,0.2,0.1431482392854525,0.13437908496732026,"(0.2,)",0.13437908496732026,0.2,0.0,0.0
48,50,46.848624,0.02,0.1424340869181438,0.13363636363636364,"(0.02,)",0.13363636363636364,0.02,0.0,0.0
38,50,47.140661,0.12,0.14242144378174387,0.1335483870967742,"(0.12,)",0.1335483870967742,0.12,0.0,0.0
24,50,47.396371,0.26,0.1431850052136572,0.13435897435897437,"(0.26,)",0.13435897435897437,0.26,0.0,0.0
40,50,47.692747,0.1,0.14300682107084486,0.13414012738853504,"(0.1,)",0.13414012738853504,0.1,0.0,0.0
28,50,47.970587,0.22,0.14356948811457512,0.13468354430379748,"(0.22,)",0.13468354430379748,0.22,0.0,0.0
22,50,48.244962,0.28,0.14464928899456603,0.13559748427672955,"(0.28,)",0.13559748427672955,0.28,0.0,0.0
42,50,48.549591,0.08,0.14429367021734302,0.13525,"(0.08,)",0.13525,0.08,0.0,0.0
42,50,48.836439,0.08,0.14380056494534985,0.13490683229813666,"(0.08,)",0.13490683229813666,0.08,0.0,0.0
26,50,49.106702,0.24,0.14430015428361895,0.13555555555555557,"(0.24,)",0.13555555555555557,0.24,0.0,0.0
40,50,49.418667,0.1,0.1439247671572601,0.13533742331288343,"(0.1,)",0.13533742331288343,0.1,0.0,0.0
40,50,49.712789,0.1,0.1435781896059841,0.1351219512195122,"(0.1,)",0.1351219512195122,0.1,0.0,0.0
36,50,49.997893,0.14,0.1435912873748507,0.13515151515151516,"(0.14,)",0.13515151515151516,0.14,0.0,0.0
38,50,50.301627,0.12,0.14343934893380667,0.1350602409638554,"(0.12,)",0.1350602409638554,0.12,0.0,0.0
42,50,50.595298,0.08,0.14294850926648825,0.1347305389221557,"(0.08,)",0.1347305389221557,0.08,0.0,0.0
44,50,50.892541,0.06,0.14244272069309824,0.13428571428571429,"(0.06,)",0.13428571428571429,0.06,0.0,0.0
36,50,51.174191,0.14,0.14245068573206737,0.13431952662721894,"(0.14,)",0.13431952662721894,0.14,0.0,0.0
42,50,51.470293,0.08,0.1422386996655771,0.134,"(0.08,)",0.134,0.08,0.0,0.0
42,50,51.757895,0.08,0.14182140445644834,0.1336842105263158,"(0.08,)",0.1336842105263158,0.08,0.0,0.0
44,50,52.055893,0.06,0.1415031527826734,0.13325581395348837,"(0.06,)",0.13325581395348837,0.06,0.0,0.0
36,50,52.338923,0.14,0.1414227554856842,0.13329479768786126,"(0.14,)",0.13329479768786126,0.14,0.0,0.0
40,50,52.632241,0.1,0.14124282854191947,0.13310344827586207,"(0.1,)",0.13310344827586207,0.1,0.0,0.0
34,50,52.899469,0.16,0.14161515497490237,0.13325714285714285,"(0.16,)",0.13325714285714285,0.16,0.0,0.0
28,50,53.170439,0.22,0.14215595657744604,0.13375,"(0.22,)",0.13375,0.22,0.0,0.0
32,50,53.484782,0.18,0.14252967596032284,0.13401129943502824,"(0.18,)",0.13401129943502824,0.18,0.0,0.0
34,50,53.761144,0.16,0.14272018752464233,0.13415730337078652,"(0.16,)",0.13415730337078652,0.16,0.0,0.0
20,50,54.016085,0.3,0.14388958716039835,0.13508379888268157,"(0.3,)",0.13508379888268157,0.3,0.0,0.0
34,50,54.285517,0.16,0.14398618700938073,0.13522222222222222,"(0.16,)",0.13522222222222222,0.16,0.0,0.0
38,50,54.6017,0.12,0.14395883247715227,0.13513812154696134,"(0.12,)",0.13513812154696134,0.12,0.0,0.0
36,50,54.883645,0.14,0.1439447110282935,0.13516483516483516,"(0.14,)",0.13516483516483516,0.14,0.0,0.0
40,50,55.178549,0.1,0.14370717918540624,0.13497267759562842,"(0.1,)",0.13497267759562842,0.1,0.0,0.0
16,50,55.429313,0.34,0.14480765779657148,0.13608695652173913,"(0.34,)",0.13608695652173913,0.34,0.0,0.0
38,50,55.726859,0.12,0.14489225560639898,0.136,"(0.12,)",0.136,0.12,0.0,0.0
34,50,56.019589,0.16,0.1449640108010677,0.13612903225806453,"(0.16,)",0.13612903225806453,0.16,0.0,0.0
42,50,56.306666,0.08,0.14461446967353386,0.1358288770053476,"(0.08,)",0.1358288770053476,0.08,0.0,0.0
38,50,56.612556,0.12,0.14466656948518536,0.13574468085106384,"(0.12,)",0.13574468085106384,0.12,0.0,0.0
36,50,56.901659,0.14,0.14472000115353265,0.13576719576719576,"(0.14,)",0.13576719576719576,0.14,0.0,0.0
36,50,57.169885,0.14,0.14474749154141606,0.13578947368421052,"(0.14,)",0.13578947368421052,0.14,0.0,0.0
40,50,57.488049,0.1,0.14459981648618903,0.1356020942408377,"(0.1,)",0.1356020942408377,0.1,0.0,0.0
40,50,57.788735,0.1,0.14447988893872835,0.13541666666666666,"(0.1,)",0.13541666666666666,0.1,0.0,0.0
46,50,58.080047,0.04,0.14386662580325263,0.13492227979274612,"(0.04,)",0.13492227979274612,0.04,0.0,0.0
34,50,58.346879,0.16,0.14405494043077013,0.13505154639175257,"(0.16,)",0.13505154639175257,0.16,0.0,0.0
