#{"t_start": 1673380916.1757903, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
50,50,0.327511,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,0.665015,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.048362,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.391614,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.768003,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.1581,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.550873,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
48,50,2.916561,0.02,0.003028083994695905,0.0025,"(0.02,)",0.0025,0.02,0.0,0.0
50,50,3.324664,0.0,0.0026989839119390346,0.0022222222222222222,"(0.0,)",0.0022222222222222222,0.0,0.0,0.0
42,50,3.715278,0.08,0.010845917583823906,0.01,"(0.08,)",0.01,0.08,0.0,0.0
34,50,4.105226,0.16,0.02855201526629272,0.023636363636363636,"(0.16,)",0.023636363636363636,0.16,0.0,0.0
36,50,4.494926,0.14,0.040802560575600465,0.03333333333333333,"(0.14,)",0.03333333333333333,0.14,0.0,0.0
40,50,4.901904,0.1,0.04781335391929812,0.038461538461538464,"(0.1,)",0.038461538461538464,0.1,0.0,0.0
36,50,5.314565,0.14,0.055854275363969835,0.045714285714285714,"(0.14,)",0.045714285714285714,0.14,0.0,0.0
44,50,5.74751,0.06,0.058037799957528134,0.04666666666666667,"(0.06,)",0.04666666666666667,0.06,0.0,0.0
42,50,6.149647,0.08,0.06071531727139627,0.04875,"(0.08,)",0.04875,0.08,0.0,0.0
46,50,6.594074,0.04,0.06021208531910727,0.04823529411764706,"(0.04,)",0.04823529411764706,0.04,0.0,0.0
38,50,7.021125,0.12,0.06475093081117327,0.052222222222222225,"(0.12,)",0.052222222222222225,0.12,0.0,0.0
42,50,7.451639,0.08,0.06700530552812599,0.05368421052631579,"(0.08,)",0.05368421052631579,0.08,0.0,0.0
40,50,7.875556,0.1,0.07047926216029425,0.056,"(0.1,)",0.056,0.1,0.0,0.0
40,50,8.33561,0.1,0.0740123858698121,0.058095238095238096,"(0.1,)",0.058095238095238096,0.1,0.0,0.0
42,50,8.775106,0.08,0.07580090497737557,0.05909090909090909,"(0.08,)",0.05909090909090909,0.08,0.0,0.0
42,50,9.194171,0.08,0.07643320900676889,0.06,"(0.08,)",0.06,0.08,0.0,0.0
38,50,9.585174,0.12,0.07957478918174718,0.0625,"(0.12,)",0.0625,0.12,0.0,0.0
36,50,9.988797,0.14,0.08320708838843553,0.0656,"(0.14,)",0.0656,0.14,0.0,0.0
38,50,10.388216,0.12,0.08592869394756188,0.06769230769230769,"(0.12,)",0.06769230769230769,0.12,0.0,0.0
40,50,10.795048,0.1,0.08757497857754927,0.06888888888888889,"(0.1,)",0.06888888888888889,0.1,0.0,0.0
26,50,11.171618,0.24,0.09521368689630035,0.075,"(0.24,)",0.075,0.24,0.0,0.0
26,50,11.546566,0.24,0.10256946585054384,0.08068965517241379,"(0.24,)",0.08068965517241379,0.24,0.0,0.0
28,50,11.93505,0.22,0.1083620969328873,0.08533333333333333,"(0.22,)",0.08533333333333333,0.22,0.0,0.0
30,50,12.328554,0.2,0.11299909782188426,0.08903225806451613,"(0.2,)",0.08903225806451613,0.2,0.0,0.0
36,50,12.749494,0.14,0.11497389001324239,0.090625,"(0.14,)",0.090625,0.14,0.0,0.0
46,50,13.182546,0.04,0.11294464200928285,0.0890909090909091,"(0.04,)",0.0890909090909091,0.04,0.0,0.0
44,50,13.586816,0.06,0.11181679389312978,0.08823529411764706,"(0.06,)",0.08823529411764706,0.06,0.0,0.0
30,50,13.979997,0.2,0.11536968977560663,0.09142857142857143,"(0.2,)",0.09142857142857143,0.2,0.0,0.0
44,50,14.392524,0.06,0.11465806738574447,0.09055555555555556,"(0.06,)",0.09055555555555556,0.06,0.0,0.0
40,50,14.804799,0.1,0.11515772720588871,0.09081081081081081,"(0.1,)",0.09081081081081081,0.1,0.0,0.0
30,50,15.226822,0.2,0.11843722120288855,0.09368421052631579,"(0.2,)",0.09368421052631579,0.2,0.0,0.0
36,50,15.627876,0.14,0.11999229505038955,0.09487179487179487,"(0.14,)",0.09487179487179487,0.14,0.0,0.0
22,50,16.026438,0.28,0.12684263286326475,0.0995,"(0.28,)",0.0995,0.28,0.0,0.0
44,50,16.450843,0.06,0.12563237116777226,0.09853658536585366,"(0.06,)",0.09853658536585366,0.06,0.0,0.0
42,50,16.854686,0.08,0.1250104778669349,0.0980952380952381,"(0.08,)",0.0980952380952381,0.08,0.0,0.0
48,50,17.26305,0.02,0.12281191286716149,0.09627906976744185,"(0.02,)",0.09627906976744185,0.02,0.0,0.0
