#{"t_start": 1673813363.4298859, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
48,50,0.45869,0.02,0.013644366197183098,0.02,"(0.02,)",0.02,0.02,0.0,0.0
46,50,0.731716,0.04,0.027564356435643565,0.03,"(0.04,)",0.03,0.04,0.0,0.0
44,50,0.980437,0.06,0.036003130707018,0.04,"(0.06,)",0.04,0.06,0.0,0.0
30,50,1.261009,0.2,0.07355958958168902,0.08,"(0.2,)",0.08,0.2,0.0,0.0
42,50,1.535712,0.08,0.07234308968539678,0.08,"(0.08,)",0.08,0.08,0.0,0.0
42,50,1.795971,0.08,0.07331362958700599,0.08,"(0.08,)",0.08,0.08,0.0,0.0
42,50,2.069839,0.08,0.07775561879579626,0.08,"(0.08,)",0.08,0.08,0.0,0.0
34,50,2.329021,0.16,0.08941753913749084,0.09,"(0.16,)",0.09,0.16,0.0,0.0
36,50,2.598099,0.14,0.09693409539937906,0.09555555555555556,"(0.14,)",0.09555555555555556,0.14,0.0,0.0
40,50,2.870591,0.1,0.09775723061172255,0.096,"(0.1,)",0.096,0.1,0.0,0.0
42,50,3.127806,0.08,0.0977707743017406,0.09454545454545454,"(0.08,)",0.09454545454545454,0.08,0.0,0.0
46,50,3.413443,0.04,0.0924902126759073,0.09,"(0.04,)",0.09,0.04,0.0,0.0
42,50,3.678472,0.08,0.09191388204732322,0.08923076923076922,"(0.08,)",0.08923076923076922,0.08,0.0,0.0
38,50,3.931692,0.12,0.09450684650611743,0.09142857142857143,"(0.12,)",0.09142857142857143,0.12,0.0,0.0
42,50,4.230679,0.08,0.09263113187513272,0.09066666666666667,"(0.08,)",0.09066666666666667,0.08,0.0,0.0
44,50,4.519196,0.06,0.09037578558409609,0.08875,"(0.06,)",0.08875,0.06,0.0,0.0
44,50,4.80671,0.06,0.08881655645815652,0.08705882352941176,"(0.06,)",0.08705882352941176,0.06,0.0,0.0
34,50,5.04593,0.16,0.09188120908401122,0.09111111111111111,"(0.16,)",0.09111111111111111,0.16,0.0,0.0
32,50,5.312517,0.18,0.09483840733736129,0.09578947368421052,"(0.18,)",0.09578947368421052,0.18,0.0,0.0
38,50,5.595582,0.12,0.09578093596333044,0.097,"(0.12,)",0.097,0.12,0.0,0.0
28,50,5.84832,0.22,0.10212285934921188,0.10285714285714286,"(0.22,)",0.10285714285714286,0.22,0.0,0.0
34,50,6.09539,0.16,0.10377556561085972,0.10545454545454545,"(0.16,)",0.10545454545454545,0.16,0.0,0.0
36,50,6.366552,0.14,0.1064235391628678,0.10695652173913044,"(0.14,)",0.10695652173913044,0.14,0.0,0.0
46,50,6.623202,0.04,0.10269529646937343,0.10416666666666667,"(0.04,)",0.10416666666666667,0.04,0.0,0.0
32,50,6.893498,0.18,0.10653588114728012,0.1072,"(0.18,)",0.1072,0.18,0.0,0.0
36,50,7.145691,0.14,0.10678142612104877,0.10846153846153846,"(0.14,)",0.10846153846153846,0.14,0.0,0.0
48,50,7.437797,0.02,0.10333599267204444,0.10518518518518519,"(0.02,)",0.10518518518518519,0.02,0.0,0.0
40,50,7.68998,0.1,0.10319277382905048,0.105,"(0.1,)",0.105,0.1,0.0,0.0
44,50,7.965126,0.06,0.10195297018803118,0.10344827586206896,"(0.06,)",0.10344827586206896,0.06,0.0,0.0
42,50,8.238703,0.08,0.10186303030947683,0.10266666666666667,"(0.08,)",0.10266666666666667,0.08,0.0,0.0
40,50,8.537749,0.1,0.10228637711045238,0.10258064516129033,"(0.1,)",0.10258064516129033,0.1,0.0,0.0
42,50,8.818485,0.08,0.10165155035854384,0.101875,"(0.08,)",0.101875,0.08,0.0,0.0
