#{"t_start": 1673818808.4791517, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
48,50,0.221823,0.02,0.013644366197183098,0.02,"(0.02,)",0.02,0.02,0.0,0.0
46,50,0.474735,0.04,0.027564356435643565,0.03,"(0.04,)",0.03,0.04,0.0,0.0
44,50,0.730063,0.06,0.036003130707018,0.04,"(0.06,)",0.04,0.06,0.0,0.0
30,50,0.970258,0.2,0.07355958958168902,0.08,"(0.2,)",0.08,0.2,0.0,0.0
42,50,1.214191,0.08,0.07234308968539678,0.08,"(0.08,)",0.08,0.08,0.0,0.0
42,50,1.49521,0.08,0.07331362958700599,0.08,"(0.08,)",0.08,0.08,0.0,0.0
16,50,1.727478,0.34,0.11878459228718041,0.11714285714285715,"(0.34,)",0.11714285714285715,0.34,0.0,0.0
18,50,1.97719,0.32,0.14796049636827835,0.1425,"(0.32,)",0.1425,0.32,0.0,0.0
12,50,2.187023,0.38,0.17628069432684165,0.1688888888888889,"(0.38,)",0.1688888888888889,0.38,0.0,0.0
10,50,2.431908,0.4,0.20407281801894037,0.192,"(0.4,)",0.192,0.4,0.0,0.0
14,50,2.677313,0.36,0.22597293702654253,0.20727272727272728,"(0.36,)",0.20727272727272728,0.36,0.0,0.0
8,50,2.903486,0.42,0.24325468204422812,0.225,"(0.42,)",0.225,0.42,0.0,0.0
8,50,3.118044,0.42,0.261061892683405,0.24,"(0.42,)",0.24,0.42,0.0,0.0
2,50,3.318819,0.48,0.2771866669704495,0.2571428571428571,"(0.48,)",0.2571428571428571,0.48,0.0,0.0
6,50,3.571167,0.44,0.2938097260564876,0.2693333333333333,"(0.44,)",0.2693333333333333,0.44,0.0,0.0
12,50,3.804775,0.38,0.3010467814706732,0.27625,"(0.38,)",0.27625,0.38,0.0,0.0
2,50,4.02445,0.48,0.3169248561382565,0.28823529411764703,"(0.48,)",0.28823529411764703,0.48,0.0,0.0
-4,50,4.25005,0.54,0.3315011205025498,0.3022222222222222,"(0.54,)",0.3022222222222222,0.54,0.0,0.0
12,50,4.493193,0.38,0.3357629416391906,0.3063157894736842,"(0.38,)",0.3063157894736842,0.38,0.0,0.0
-2,50,4.715219,0.52,0.34706587968001523,0.317,"(0.52,)",0.317,0.52,0.0,0.0
6,50,4.945773,0.44,0.35290643974380326,0.32285714285714284,"(0.44,)",0.32285714285714284,0.44,0.0,0.0
20,50,5.18458,0.3,0.3511529411764706,0.32181818181818184,"(0.3,)",0.32181818181818184,0.3,0.0,0.0
12,50,5.429215,0.38,0.3527973476999586,0.3243478260869565,"(0.38,)",0.3243478260869565,0.38,0.0,0.0
4,50,5.662255,0.46,0.3588609857159878,0.33,"(0.46,)",0.33,0.46,0.0,0.0
10,50,5.901142,0.4,0.3622423648330384,0.3328,"(0.4,)",0.3328,0.4,0.0,0.0
8,50,6.122962,0.42,0.36416932124479295,0.33615384615384614,"(0.42,)",0.33615384615384614,0.42,0.0,0.0
4,50,6.345418,0.46,0.3680938451082942,0.34074074074074073,"(0.46,)",0.34074074074074073,0.46,0.0,0.0
10,50,6.573063,0.4,0.371132905048296,0.34285714285714286,"(0.4,)",0.34285714285714286,0.4,0.0,0.0
12,50,6.812911,0.38,0.3728863005856709,0.34413793103448276,"(0.38,)",0.34413793103448276,0.38,0.0,0.0
10,50,7.037513,0.4,0.37579177458556484,0.346,"(0.4,)",0.346,0.4,0.0,0.0
-4,50,7.237161,0.54,0.3830699832452636,0.352258064516129,"(0.54,)",0.352258064516129,0.54,0.0,0.0
10,50,7.489218,0.4,0.38476376083751845,0.35375,"(0.4,)",0.35375,0.4,0.0,0.0
18,50,7.718107,0.32,0.3851222371876242,0.3527272727272727,"(0.32,)",0.3527272727272727,0.32,0.0,0.0
8,50,7.936745,0.42,0.38710041103934234,0.3547058823529412,"(0.42,)",0.3547058823529412,0.42,0.0,0.0
10,50,8.165678,0.4,0.3892482936516995,0.356,"(0.4,)",0.356,0.4,0.0,0.0
22,50,8.426172,0.28,0.3872256199266096,0.35388888888888886,"(0.28,)",0.35388888888888886,0.28,0.0,0.0
0,50,8.636531,0.5,0.3914463156620045,0.35783783783783785,"(0.5,)",0.35783783783783785,0.5,0.0,0.0
6,50,8.866286,0.44,0.39371622872725437,0.36,"(0.44,)",0.36,0.44,0.0,0.0
-4,50,9.080968,0.54,0.3985795023750097,0.3646153846153846,"(0.54,)",0.3646153846153846,0.54,0.0,0.0
12,50,9.343822,0.38,0.39966611951802994,0.365,"(0.38,)",0.365,0.38,0.0,0.0
4,50,9.553963,0.46,0.4029831549572443,0.3673170731707317,"(0.46,)",0.3673170731707317,0.46,0.0,0.0
4,50,9.782065,0.46,0.40555060238209545,0.36952380952380953,"(0.46,)",0.36952380952380953,0.46,0.0,0.0
8,50,10.007361,0.42,0.40747065498446716,0.37069767441860463,"(0.42,)",0.37069767441860463,0.42,0.0,0.0
0,50,10.235915,0.5,0.410832952044796,0.37363636363636366,"(0.5,)",0.37363636363636366,0.5,0.0,0.0
12,50,10.486042,0.38,0.41216696775294803,0.37377777777777776,"(0.38,)",0.37377777777777776,0.38,0.0,0.0
-4,50,10.688483,0.54,0.41564712225836187,0.3773913043478261,"(0.54,)",0.3773913043478261,0.54,0.0,0.0
0,50,10.888891,0.5,0.4190315430520034,0.38,"(0.5,)",0.38,0.5,0.0,0.0
0,50,11.107543,0.5,0.42160557459569453,0.3825,"(0.5,)",0.3825,0.5,0.0,0.0
12,50,11.336962,0.38,0.42193558130144027,0.3824489795918367,"(0.38,)",0.3824489795918367,0.38,0.0,0.0
-2,50,11.580109,0.52,0.4248201820185231,0.3852,"(0.52,)",0.3852,0.52,0.0,0.0
6,50,11.792187,0.44,0.42622326205313427,0.3862745098039216,"(0.44,)",0.3862745098039216,0.44,0.0,0.0
-2,50,12.000609,0.52,0.42973899125232906,0.38884615384615384,"(0.52,)",0.38884615384615384,0.52,0.0,0.0
0,50,12.217892,0.5,0.4315448504480045,0.3909433962264151,"(0.5,)",0.3909433962264151,0.5,0.0,0.0
6,50,12.444515,0.44,0.4317556362598891,0.39185185185185184,"(0.44,)",0.39185185185185184,0.44,0.0,0.0
