#{"t_start": 1673804504.4132373, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
50,50,0.641943,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,0.851785,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.076038,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.304577,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.558855,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.805758,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.023825,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.233681,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.487093,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.71505,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.927917,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,3.156021,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,3.381106,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,3.607917,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,3.841622,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,4.053981,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,4.287011,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,4.521628,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,4.748498,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,4.981094,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,5.189829,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,5.412564,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,5.63762,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,5.854639,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,6.06951,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,6.280668,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,6.516852,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,6.730785,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,6.951486,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,7.162291,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,7.40806,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,7.636385,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,7.857906,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,8.067632,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,8.275692,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,8.510619,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,8.728765,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,8.943193,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,9.158875,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,9.375873,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,9.617521,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,9.865593,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,10.096399,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,10.318542,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,10.560894,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,10.785594,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,10.999157,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,11.206853,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,11.426947,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,11.658867,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,11.862037,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,12.067671,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,12.275448,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,12.514266,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,12.745933,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,12.958113,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,13.169612,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,13.378195,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,13.607995,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,13.821757,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,14.037157,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,14.25037,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,14.466603,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,14.694722,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,14.90909,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,15.118897,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,15.329569,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,15.566819,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,15.789465,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,16.001038,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,16.208494,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,16.438703,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,16.651994,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,16.871667,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,17.079521,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,17.297586,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,17.497116,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,17.740735,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,17.956034,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,18.188501,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,18.395555,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,18.640056,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,18.858559,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,19.075506,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,19.278681,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,19.502984,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,19.723331,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,19.934729,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,20.152848,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,20.368493,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,20.588524,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,20.834589,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,21.034847,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,21.254177,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,21.467076,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,21.727448,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,21.931766,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,22.146287,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,22.365882,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,22.599917,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,22.819009,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,23.032165,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,23.240404,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,23.469291,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,23.672899,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,23.885491,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,24.098507,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,24.322313,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,24.529708,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,24.747021,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,24.949086,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,25.158611,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,25.366555,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,25.593385,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,25.822613,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,26.031593,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,26.258963,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,26.485013,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,26.702797,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,26.920847,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,27.135591,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,27.35107,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,27.599444,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,27.826448,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,28.038097,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,28.257448,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,28.492177,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,28.710924,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,28.937222,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,29.154701,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,29.375844,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
